4r40_C		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_6_E_0_-_6_A_5_E_6_E_5_D_5_E_6_D_6_B_17_E_5_E_6_E_6_A_7_E_5_G_2_G_5_B_7_C	0-13	12-28	BjACBGBGGGGGBBbi	CDiBbeHHImFFEAEEDEDBEEEAEGGBCEFCF	0.558
6j71_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_12_G_2_B_0_-_17_B_8_b	_6_D_0_-_3_A_7_E_2_E_9_E_6_B_2_D_3_C_3_B_5_G_3_b_1_F_5_G_5_B_1_b_3_E_0_b	0-14	4-20	BjACBGBGGGGGBBbi	BCFEDAEEEBDCBGbFGBbEbEbGbE	0.575
2vh5_L		_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B	_0_C_2_A_7_F_7_E_6_D_3_A_7_E_2_E_9_E_11_C	3-12	0-9	BjACBGBGGGGGBBbi	CAFEDAEEEC	0.604
7o9o_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_0_-_0_-_12_G_12_G_12_G_2_B_0_-_17_B_8_b	_5_C_0_-_2_D_2_D_2_C_1_F_1_C_7_E_3_C_8_C_3_A_2_A_1_D_2_E_5_E_4_D_6_b_0_E_2_b	0-14	15-32	BjACBGBGGGGGBBbi	JBKBDFCDFCFCCFDCDDCFCECCAADEEDbEbE	0.454
6ous_V		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_C_0_-_2_C_5_F_7_E_6_D_3_A_7_E_2_E_4_b_2_E_11_D_7_D_3_c_3_J_4_E_2_B_3_D_9_I_0_c	0-14	0-18	BjACBGBGGGGGBBbi	CCFEDAEEbEDDcJEBDIcED	0.405
6nym_J		_0_B_2_j_3_A_1_C_0_-_2_B_0_-_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_0_-_17_B	_16_B_0_-_13_B_4_C_11_A_15_B_7_A_2_C_9_A_3_H_4_D_29_H_12_D_3_C_14_E_4_B_19_A_2_B	0-13	11-27	BjACBGBGGGGGBBbi	fbbAAABABBBBBCABACAHDHDCEBABCAABABBCBBFCHBCBAABACBECFBbcAAhbbCBEB	0.558
6jpl_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B	_5_F_0_-_8_C_4_D_5_F_7_F_7_G_6_F_3_G_4_H_5_H_2_G_3_E_1_b_2_B_6_B	0-13	66-80	BjACBGBGGGGGBBbi	EDEEFCEEebAEEDDIGDEEEEEFEHIFEDDgFEEEcDbDFGGFFFFEDBIGHIFFEFEGGBEdGFFCDFFGFGHHGEbBBACGGGHFEGHIGE	0.636
6v6w_J		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_B_0_-_3_C_5_F_8_E_6_D_3_A_7_E_2_E_9_E_6_A_3_D_7_D_3_c_3_J_5_E_2_A_4_D_9_I_0_d	0-14	0-18	BjACBGBGGGGGBBbi	BCFEDAEEEADDcJEADIdFE	0.400
7kra_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_0_-_0_-_12_G_12_G_12_G_2_B_17_B	_8_B_0_-_6_A_2_C_2_C_3_A_4_G_0_-_26_G_4_G_8_C_10_C_3_G_5_I_28_H_3_D_12_D	0-13	31-45	BjACBGBGGGGGBBbi	bEDEFbBBCDBCAEDEFGmffFEEEEEFEEEBACCAGGGCCGIHDDCAEEDs	0.655
4mpz_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_C_0_-_5_C_5_C_5_D_5_D_4_E_4_D_5_C_5_C_5_C_4_C_3_E_5_D_4_C_5_C	0-13	0-14	BjACBGBGGGGGBBbi	CCCDDEDCCCCEDCC	0.459
3vw3_H		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_0_-_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_17_B	_0_C_0_-_3_B_5_G_3_b_2_E_6_F_4_C_1_b_3_E_0_b_1_E_4_b_1_H_5_D_3_D_10_B_12_H_4_C_8_B	0-13	0-18	BjACBGBGGGGGBBbi	CBGbEFCbEbEbHDDBHCBAFEE	0.420
5ou7_B		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_0_-_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_17_B	_0_D_0_-_3_B_4_E_6_E_4_B_3_C_4_b_1_H_2_B_5_E_6_E_5_E_6_E_5_D_3_C_5_G_14_B	0-13	0-16	BjACBGBGGGGGBBbi	DBEEBCbHBEEEEDCGB	0.510
7c72_A		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_0_-_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_17_B_8_b_6_i	_6_D_0_-_7_B_18_B_5_E_4_E_4_C_6_A_4_B_2_F_6_E_5_E_14_E_5_F_16_D_13_f_4_E_8_d_8_l	0-15	22-39	BjACBGBGGGGGBBbi	eEGbGCbEGDAGIJbDFFGJGEDBBEECABFEEEFDfEdlDkDfbcffEiEl	0.498
7kx0_A		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_12_G_12_G_12_G	_6_D_0_-_8_B_2_B_2_B_4_J_4_e_4_E_8_E_5_I_4_F_12_H	0-10	1-11	BjACBGBGGGGGBBbi	HDBBBJeEEIFH	0.621
8kg3_A		_0_B_2_j_3_A_0_-_0_-_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_7_C_0_-_1_A_2_A_3_E_6_D_6_h_5_F_4_H_2_E_5_E_4_E_8_E_2_G_5_G_10_F_5_F_1_b	0-14	11-27	BjACBGBGGGGGBBbi	ACBCDdbgFEDCAAEDhFHEEEEGGFFbCCE	0.578
6nmr_L		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_0_-_2_B_17_B	_6_D_0_-_3_A_7_E_2_E_9_E_7_B_2_D_7_D_3_e_1_J_4_E_2_A_4_D_9_I_0_e_2_F_7_E	0-13	4-20	BjACBGBGGGGGBBbi	CCFEDAEEEBDDeJEADIeFE	0.445
2k7q_A		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_0_-_0_-_0_-_2_B_0_-_0_-_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B	_10_E_0_-_6_A_1_C_5_C_6_H_2_A_5_D_1_b_3_b_1_B_1_b_1_B_4_E_1_b_2_H_3_F_5_F_3_H_2_A_5_E	0-13	2-21	BjACBGBGGGGGBBbi	HAEACCHADbbBbBEbHFFHAE	0.444
8hmd_A		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_0_-_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_3_D_0_-_7_C_4_E_11_D_3_D_10_A_4_E_1_b_1_E_0_b_0_E_4_F_4_E_15_F_3_G_4_B_4_C	0-13	13-29	BjACBGBGGGGGBBbi	HDDDEFGEDDCEDDCEDDAEbEbEFEFGBCDDFEFFDEDEEDCCCDDDCCCAEEDigkikihhh	0.514
6i9a_B		_0_B_2_j_3_A_0_-_0_-_0_-_0_-_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G	_9_E_13_f_5_F_5_h_18_e_7_m_8_f_0_D_15_A_10_E_0_-_4_E_2_G_4_E_7_G_6_G	0-11	22-36	BjACBGBGGGGGBBbi	cFlFmDAAcDldEibDdDABBcEfFhemfDAEEGEGG	0.459
3i02_C		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_0_-_12_G_2_B_17_B	_4_A_0_-_4_A_1_E_6_D_3_A_7_E_2_E_4_b_1_F_5_A_3_E_6_D_3_e_1_J_5_D_9_I_7_B_8_C	0-13	3-20	BjACBGBGGGGGBBbi	CDFAAEDAEEbFAEDeJDIBC	0.471
2fd6_H		_1_C_2_B_7_G_0_-_2_B_7_G_0_-_0_-_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_0_-_0_-_17_B_8_b	_0_C_3_B_5_G_3_b_1_F_6_F_5_B_1_b_3_E_0_b_1_E_4_b_1_G_5_C_3_D_8_B_6_A_4_E_4_C_0_b	3-14	0-19	BjACBGBGGGGGBBbi	CBGbFFBbEbEbGCDBAECbBBGAEbE	0.427
6opa_R		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_0_A_3_D_0_-_4_E_11_D_6_D_3_A_7_E_2_E_4_b_1_G_6_C_2_E	2-13	0-11	BjACBGBGGGGGBBbi	ADEDDAEEbGCE	0.577
4hcr_L		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_C_0_-_2_C_5_F_12_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_D_7_D_3_d_2_J_3_F_2_A_4_D_9_I_0_c	0-14	0-19	BjACBGBGGGGGBBbi	CCFEDAEEbFADDdJFADIcGE	0.371
4d6v_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_6_D_0_-_4_C_5_D_8_E_7_E_4_D_4_E_6_E_5_E_3_E_5_E_4_E_5_E	0-13	10-22	BjACBGBGGGGGBBbi	GDEEFEEDEEDCDEEDEEEEEEEDEEEG	0.606
5k9o_H		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_0_-_8_b	_0_A_11_E_10_E_5_F_7_A_8_D_4_E_9_E_17_B_6_D_11_J_3_D_8_B_3_A_5_H_1_b	2-14	0-15	BjACBGBGGGGGBBbi	AEEFADEEBDJDBAHbEbE	0.523
5jqd_C		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_17_B	_0_B_0_-_3_B_5_F_3_b_2_E_5_F_6_B_1_b_3_E_4_E_4_b_1_F_10_A_3_D_8_D_4_J_4_C_8_B	0-13	0-17	BjACBGBGGGGGBBbi	BBFbEFBbEEbFADDJCBAHFF	0.468
8etg_p		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B	_4_D_0_-_4_C_5_C_7_E_5_E_3_E_3_F_7_A_7_E_3_E_11_C_5_E_5_E_3_E_5_E	0-13	2-16	BjACBGBGGGGGBBbi	EEDCCEEEFAEECEEEEFEDDEEEEFEE	0.543
7dd9_E		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_0_-_0_-_2_B_0_-_7_G_12_G_12_G_12_G_0_-_0_-_12_G_2_B_17_B_8_b	_2_E_5_d_3_A_3_D_4_E_4_D_2_G_11_J_5_i_4_D_12_D_3_G_6_F_5_F_4_F_5_D_10_D_4_G_17_C_6_B_0_d	0-14	63-83	BjACBGBGGGGGBBbi	ibcbGBAHcEABBFHnlkdEoBijAmBfBcDDhDlAjBcrksBbCDDCCCDEAEdCFJIbHGEEdADEDGJiDDGFFFDDGCBdC	0.445
7u9p_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B	_5_B_0_-_8_A_5_E_7_C_5_C_3_B_18_I_2_I_10_F_7_C_4_A_3_H_5_E	0-12	2-14	BjACBGBGGGGGBBbi	BGBAECCBIIFCAHE	0.639
7zm5_B		_0_B_0_-_2_j_3_A_0_-_1_C_0_-_2_B_0_-_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_1_B_2_I_18_f_4_A_3_J_9_D_1_b_6_C_8_C_10_D_5_C_30_C_6_H_2_H_2_F_6_J_6_I_0_-_0_-_1_b	0-14	18-35	BjACBGBGGGGGBBbi	BbAbHHbJJBDHeGEbEABIfAJDbCCDCCHHFJIbI	0.471
6ikm_k		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_5_B_0_-_1_B_6_B_10_B_4_E_4_b_1_B_2_B_10_D_9_C_5_E_11_D_6_D_20_E_4_b	0-14	6-20	BjACBGBGGGGGBBbi	CBGbBBBBBBEbBBDCEDDEbHCE	0.561
4o02_H		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_0_-_17_B_8_b	_0_C_0_-_3_A_6_G_3_b_2_E_5_F_6_B_1_b_3_E_4_E_4_b_1_G_5_D_2_C_11_B_12_F_7_C_0_b	0-14	0-17	BjACBGBGGGGGBBbi	CAGbEFBbEEbGDCBFCbBFEE	0.505
7ada_B		_0_B_2_j_0_-_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_0_-_0_-_17_B_8_b_6_i	_4_C_10_j_5_h_17_k_5_C_1_C_11_C_4_C_13_G_2_E_5_C_2_G_10_H_2_B_16_B_12_c_5_b_0_B_5_b_4_g	0-15	16-35	BjACBGBGGGGGBBbi	jCjDeAcdCbkcCibcCjhkCCCCGECGHBBcbBbg	0.552
8dun_O		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G	_0_B_3_C_5_F_7_E_6_D_3_A_7_E_2_E_9_E_11_E	2-11	0-9	BjACBGBGGGGGBBbi	BCFEDAEEEE	0.622
3kya_A		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_0_D_0_-_2_B_1_C_3_D_9_D_2_b_1_C_5_A_4_E_28_F_2_I_1_G_5_C_8_D_16_B_5_b	0-14	4-19	BjACBGBGGGGGBBbi	EAFbDBCDDbCAEFIGCDBbFFBDDhbEDECAAbGFbDFdDCD	0.604
2jll_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_5_C_0_-_5_D_1_C_3_E_2_A_8_D_4_D_8_H_2_J_7_G_4_E_9_I_6_C_6_C	0-13	10-23	BjACBGBGGGGGBBbi	CCHEBDFbGLCDCEADDHJGEICCICEEFACIAE	0.622
6wxl_E		_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_B_2_C_5_E_0_-_13_E_5_D_13_E_2_E_8_F_8_A_4_D	3-13	0-9	BjACBGBGGGGGBBbi	BCEEDEEFAD	0.581
4gfx_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B	_3_B_0_-_1_I_1_C_2_D_5_E_13_B_5_G_6_C_3_A_1_J_2_I_4_B	0-12	2-13	BjACBGBGGGGGBBbi	GIBICDEBGCAJIB	0.605
6o38_C		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_8_b_6_i	_5_B_0_-_11_A_4_B_7_A_6_C_15_E_7_B_9_E_5_C_5_C_4_F_2_C_2_B_2_B_1_f_1_e_2_j	0-15	14-30	BjACBGBGGGGGBBbi	ABCBEBAFFCcFBEBABACEBECCFCBBfejBBfhCBCfk	0.593
5hj3_J		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_0_-_2_B_17_B_8_b	_0_B_0_-_2_D_4_E_5_A_0_-_4_A_1_E_6_D_3_A_7_E_2_E_8_F_6_A_3_E_6_D_3_c	0-14	0-14	BjACBGBGGGGGBBbi	BDEAAEDAEEFAEDcJDId	0.490
8q28_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_0_-_0_-_0_-_12_G_12_G_0_-_12_G_2_B_17_B_8_b	_14_C_0_-_2_A_11_D_9_E_4_E_8_B_14_G_8_F_2_D_5_A_2_b_14_B_10_D_2_E_2_b_18_G_5_B_3_C_7_c	0-14	1-19	BjACBGBGGGGGBBbi	CCADEEBGFDAbBDEbGBCc	0.513
4rt6_A		_0_B_0_-_0_-_2_j_0_-_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_2_B_4_A_5_d_17_g_1_b_10_B_4_D_2_D_2_J_0_-_2_E_7_b_4_I_2_E_12_J_1_F_3_D_4_C_3_b	0-14	52-69	BjACBGBGGGGGBBbi	CEEEDEBCDBBDAACBDCKDDCJCCAADCCDEBDEAADCChCHbDICMbNKDBAdgbBDDJEbIEJFDCbFCCDEDBADDAAj	0.492
3pe7_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_0_B_0_-_3_C_6_C_7_A_14_E_6_E_4_C_12_A_5_E_3_E_5_E_4_H_5_G_0_-_0_-_0_b_6_i	0-15	0-14	BjACBGBGGGGGBBbi	BCCAEECAEEEHGbiFFFHDAGFEFEEEFAEEd	0.614
4d4q_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B_8_b	_17_A_0_-_18_A_8_D_12_F_6_E_3_E_4_D_20_D_2_E_2_E_5_H_5_C_6_B_4_B_10_b	0-14	1-15	BjACBGBGGGGGBBbi	DAADFEEDDEEHCBBbBEEEFFECE	0.641
5fwh_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B	_4_D_0_-_6_A_10_D_4_C_4_D_3_B_6_B_5_E_5_D_6_A_5_E_2_E_6_A_2_A	0-13	2-15	BjACBGBGGGGGBBbi	EEDADCDBBEDAEEAAAADEAA	0.542
8d6a_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_7_G_0_-_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B	_3_B_0_-_5_A_4_F_7_E_2_c_3_H_6_A_11_C_8_H_13_A_13_D_8_F_13_E_7_B_6_D_4_G_10_B_14_B	0-13	7-24	BjACBGBGGGGGBBbi	CABACAABAFEcHACHADFEBDGBBBGDBHAD	0.535
6xsw_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_17_B_0_-_0_-_8_b	_0_D_0_-_3_A_5_G_3_b_2_E_5_F_6_B_1_b_3_E_4_E_4_b_1_F_9_A_3_D_8_D_5_J_4_C_8_B_3_A_5_I_0_b	0-14	0-20	BjACBGBGGGGGBBbi	DAGbEFBbEEbFADDJCBAIbEbE	0.406
5hly_A		_2_j_3_A_0_-_1_C_0_-_2_B_0_-_7_G_0_-_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_0_-_17_B	_15_i_3_B_1_b_1_B_3_d_6_B_5_A_5_D_3_c_2_C_1_F_9_J_2_J_4_E_1_h_4_F_9_B_4_e_5_B	1-13	1-19	BjACBGBGGGGGBBbi	giBbBdBADcCFJJEhFBeBBBBBEAAF	0.469
4xfv_A		_0_B_2_j_3_A_0_-_0_-_1_C_2_B_7_G_2_B_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_4_F_0_-_9_C_7_G_7_E_6_D_3_E_6_F_3_E_4_E_5_A_17_E_6_D_4_F_12_H_5_G_2_E_4_D_0_-_2_i	0-15	19-36	BjACBGBGGGGGBBbi	GBDDEEEEFBDFGGGFHGFFCGEDEFEEAEDFHGEDicDEEDCDEFEEGHEFFFIFG	0.501
6h04_A		_0_B_2_j_0_-_3_A_1_C_2_B_7_G_0_-_0_-_2_B_0_-_7_G_12_G_0_-_12_G_12_G_0_-_0_-_12_G_2_B_17_B_0_-_0_-_8_b_0_-_6_i	_2_E_1_f_13_G_6_D_11_C_5_A_5_G_10_I_5_A_3_C_6_E_5_I_11_G_24_D_12_F_2_G_8_D_3_b_3_F_10_F_10_C_11_F_4_H_6_b_8_f_11_g	0-15	26-51	BjACBGBGGGGGBBbi	DAEEDEEDAEAAEECBAADBAEcGIFEfGDCAGIACEIGDFGDbFFCFHbfgCGFGBBDAEHABEBHFABDBEcmolknmjjBBkjmEEBDH	0.387
5kan_I		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_B_0_-_3_B_6_F_7_E_6_D_3_A_7_E_2_E_4_b_2_E_11_C_8_D_10_J_4_E_8_D_9_I_0_c	0-14	0-16	BjACBGBGGGGGBBbi	BBFEDAEEbECDJEDIcFE	0.456
3v10_B		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_12_G_12_G_2_B_0_-_17_B_8_b_6_i	_0_F_0_-_11_G_14_D_6_D_5_E_2_G_2_E_1_d_4_J_7_C_15_C_8_F_6_G_10_F_3_B_5_E_2_E_0_-_0_f	0-15	0-17	BjACBGBGGGGGBBbi	FGDDEGEdJCCFGFBEEfDEcIJAcCD	0.442
6l6r_B		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_0_-_2_B_0_-_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_8_D_0_-_7_C_4_E_4_E_6_C_5_G_4_F_4_E_6_C_6_F_4_E_4_E_6_C_6_F_2_E_4_E_7_C_8_C_1_b_11_b	0-15	6-25	BjACBGBGGGGGBBbi	DDCFEEDCEECGFECFEECFEECCbbCCFDCFECCFEECCCDCFbEEBEEEDGdBBAA	0.448
4zb4_B		_2_j_0_-_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_l_14_H_5_B_1_C_4_I_3_F_6_E_7_D_3_E_3_E_5_E_6_D_8_E_4_D_5_D	1-13	0-14	BjACBGBGGGGGBBbi	lHBCIFEDEEEDEDDCDDAEEEACEbFBDDH	0.507
4kvn_H		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_17_B	_0_B_0_-_2_B_6_D_7_E_5_F_6_B_7_E_4_E_4_b_1_G_12_C_3_D_8_D_6_H_4_D_9_A	0-13	0-15	BjACBGBGGGGGBBbi	BBDEFBEEbGCDDHDAAGE	0.561
7opi_A		_0_B_2_j_3_A_0_-_0_-_1_C_2_B_7_G_2_B_0_-_7_G_12_G_0_-_0_-_12_G_12_G_12_G_2_B_17_B	_6_D_0_-_8_D_4_G_4_H_13_C_5_D_5_G_5_B_3_A_5_H_7_G_1_d_4_d_3_G_4_H_4_E_10_D_2_D	0-13	5-22	BjACBGBGGGGGBBbi	FDDGHDDGHCDGBAHGddGHEDDCBBFHJFEEBFFEbFFEGlicGEHGFFEDFFFEEFEEEAFCDEmdBhil	0.512
7y5l_E		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_6_E_0_-_5_E_4_D_5_D_1_E_5_D_14_A_5_I_4_H_6_E_5_J_15_H_2_D_8_C	0-13	13-26	BjACBGBGGGGGBBbi	CEFGHEDFGEEDEEEDDEDAIHEJHDCEED	0.595
1gff_2		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_0_-_0_-_12_G_12_G_2_B_17_B	_0_C_0_-_6_A_7_C_2_C_0_-_2_A_3_F_8_I_7_I_12_B_3_B_4_B_1_E_7_I_2_A_2_B	0-13	0-14	BjACBGBGGGGGBBbi	CACCAFIIBBBEIABG	0.579
6tmf_F		_0_B_0_-_2_j_3_A_0_-_1_C_2_B_7_G_0_-_0_-_2_B_0_-_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B_8_b	_0_B_0_b_11_i_3_A_2_A_6_B_2_D_4_F_5_E_1_c_2_C_3_C_3_E_3_D_12_D_4_E_6_C_8_G_8_D_5_D_0_b	0-14	2-22	BjACBGBGGGGGBBbi	bbBbiAABDFEcCCEDDECGDDbD	0.485
5d9q_I		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_0_C_0_-_3_B_5_G_3_b_2_E_6_E_6_B_1_b_3_E_4_E_4_b_1_J_4_H_3_D_3_B_2_B	0-13	0-15	BjACBGBGGGGGBBbi	CBGbEEBbEEbJHDBBEEDAEEbFAD	0.528
4qaw_B		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_0_-_0_-_12_G_12_G_2_B_17_B	_4_E_17_j_0_-_5_E_15_i_7_D_7_G_0_-_2_G_5_G_5_F_6_A_3_A_4_E_3_G_13_C_4_C	0-13	20-34	BjACBGBGGGGGBBbi	JDcgElEbEEnBiFbccEbeEjEiDGGGFAAEGCCCCGIFHHGH	0.612
2y23_A		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b	_7_D_1_l_5_H_5_F_7_E_2_B_6_D_4_E_4_b_1_G_4_G_2_o_2_J_3_H_6_E_2_E_4_E_4_b	0-14	8-25	BjACBGBGGGGGBBbi	CEDAEEbFDlHFEBDEbGGoJHEEEbGF	0.515
5xeq_B		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_8_b	_12_C_4_b_2_F_6_I_5_D_12_E_7_E_12_C_8_E_9_F_9_E_8_C_4_C_5_H_5_B_17_C_4_b	0-14	4-20	BjACBGBGGGGGBBbi	DDGECbFIDEECEFECCHBCbGH	0.534
3iy3_A		_1_C_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_0_-_12_G_2_B_17_B	_0_C_2_D_4_F_4_A_2_A_1_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_E	3-13	0-13	BjACBGBGGGGGBBbi	CDFAAEDAEEbFAE	0.533
8u4s_E		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B	_0_B_0_-_2_A_7_E_13_E_6_E_2_A_0_-_7_E_0_-_2_E_9_E_11_C	0-12	0-9	BjACBGBGGGGGBBbi	BAEEEAEEEC	0.497
6wju_B		_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_12_G_2_B_17_B_0_-_0_-_8_b	_0_C_3_B_2_J_7_D_5_F_24_H_1_b_1_E_13_D_8_D_8_J_4_C_8_B_3_A_5_I_0_c	3-14	0-15	BjACBGBGGGGGBBbi	CBJDFHbEDDJCBAIcFbF	0.500
6jyx_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_2_E_0_-_2_A_2_D_2_D_6_A_1_E_11_b_8_E_10_E_18_E_8_D_2_D_3_B_2_B	0-13	1-14	BjACBGBGGGGGBBbi	DEADDAEbEEEDDBBDDCCDDDDDDDDBBA	0.558
