2hv6_A	_0_b_7_i_4_e_3_c_3_l	_3_c_7_i_7_d_1_f_4_j	0.630
6auj_B	_0_b_7_i_4_e_3_c_0_-_0_-_0_-_3_l_2_D_0_-_2_D	_0_b_12_j_5_d_6_b_10_f_0_A_5_A_1_j_6_C_6_b_7_F	0.433
1cov_3	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_c_4_A_5_d_1_c_0_-_1_C_7_E	0.451
2rjz_B	_4_e_3_c_0_-_3_l_2_D_2_D	_0_f_1_b_3_o_3_k_3_F_3_A	0.395
3cy5_B	_0_b_0_-_7_i_4_e_3_c_0_-_3_l	_1_b_5_d_2_n_4_c_1_c_11_o_2_m	0.351
2k9x_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_6_b_2_g_0_-_8_c_0_-_11_D_4_c_11_E	0.563
5trt_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D	_6_c_9_g_5_j_0_J_1_b_7_o_4_F	0.400
4qk0_C	_0_b_0_-_7_i_4_e_0_-_3_c_0_-_3_l_0_-_2_D_2_D	_5_c_3_m_30_j_6_d_2_a_24_d_1_b_15_i_1_c_1_B_4_B	0.372
1bo4_A	_7_i_4_e_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_5_k_3_d_5_h_3_G_2_J_6_I_8_l_3_D_11_B	0.365
1php_A	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_3_b_1_d_2_g_4_C_2_b_9_c_3_B_1_l_5_D_4_j_5_C	0.492
1goj_A	_0_b_7_i_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_5_c_0_-_5_f_5_E_6_d_12_k_5_K_2_C_10_C	0.480
1rjw_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_4_i_0_H_11_e_0_-_3_C_5_j_7_D_0_j_6_D	0.435
4odi_B	_0_b_7_i_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_4_b_6_j_0_-_5_d_4_D_1_j_6_b_9_D_5_E	0.574
1omr_A	_0_b_0_-_7_i_4_e_3_c_3_l	_3_b_1_g_9_j_4_c_4_b_2_j	0.531
6ooi_C	_0_b_7_i_4_e_0_-_3_c_3_l_0_-_2_D_0_-_2_D	_3_d_3_k_5_d_1_D_2_b_8_m_4_c_1_D_7_d_6_C	0.474
3pf0_A	_0_b_7_i_4_e_0_-_3_c_3_l	_2_b_1_i_6_e_2_p_2_b_5_l	0.652
4o6i_B	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_8_c_6_g_5_C_3_h_6_C_4_c_3_j_7_A_5_A	0.419
1mjt_A	_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_7_k_7_e_1_D_5_n_4_D_6_A_16_k_13_C	0.369
1pt6_A	_0_b_0_-_7_i_0_-_4_e_0_-_3_c_0_-_3_l	_7_b_6_G_7_j_2_G_1_d_5_i_4_c_0_C_2_l	0.368
3okf_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_0_-_2_D	_2_b_1_E_2_b_1_c_6_F_3_l_2_F_3_b_2_k_7_E	0.360
1uqw_A	_0_b_7_i_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_6_b_1_i_2_h_3_B_21_j_5_F_6_k_2_E_2_b_17_B	0.421
4bes_A	_0_b_7_i_4_e_3_c_0_-_0_-_3_l_2_D	_1_b_2_h_0_-_1_d_3_G_2_C_12_l_6_C	0.520
1t2d_A	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_5_i_1_d_5_C_2_c_0_-_4_C_16_o_4_C	0.506
3qan_C	_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_7_j_3_D_5_k_7_B_9_d_3_F_2_j_10_D_4_D	0.398
1gdh_A	_7_i_0_-_4_e_0_-_3_c_0_-_3_l_0_-_2_D_0_-_2_D	_8_g_4_D_6_e_6_D_8_e_3_B_6_l_2_h_20_D_3_j_4_D	0.402
1gco_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_9_b_0_-_2_f_0_-_6_l_5_D_2_b_7_p_2_F	0.501
7mdh_B	_4_e_3_c_0_-_3_l_2_D_2_D	_0_c_3_a_5_l_5_l_8_E_12_F	0.551
7qv8_A	_0_b_0_-_7_i_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_4_b_5_E_6_i_4_e_1_D_3_m_2_F_18_n_2_F_3_F	0.421
2okj_B	_0_b_0_-_0_-_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_b_0_C_9_k_3_F_12_j_2_E_2_e_4_c_2_b_2_C_11_D	0.410
7bya_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_0_b_3_j_1_h_0_-_6_l_4_I_1_b_1_J_2_D	0.475
5e8l_A	_0_b_7_i_4_e_0_-_3_c_3_l	_4_f_5_g_5_k_4_q_10_d_1_m	0.355
1nol_A	_0_b_7_i_0_-_4_e_0_-_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_1_b_3_i_6_C_9_h_2_k_6_c_6_o_23_A_4_A_17_m_1_B_5_B	0.380
2cyc_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_c_2_j_4_e_1_c_10_l_4_D_0_l_5_B	0.735
6bdx_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_5_j_3_F_27_e_3_C_3_k_2_C_6_i_4_C	0.381
3h7u_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_2_b_2_k_5_b_1_E_1_b_4_k_6_C_4_A	0.533
1eq2_D	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_10_c_6_j_3_E_0_c_10_b_5_n_4_E_1_B	0.603
1kzy_C	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_6_h_3_B_1_h_5_b_0_-_5_B_4_B_12_E	0.404
6gsw_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_6_h_4_E_10_c_2_b_0_-_9_C_2_C	0.503
7omm_C	_7_i_0_-_4_e_3_c_3_l_0_-_0_-_2_D_2_D	_4_g_8_D_0_h_10_c_4_e_1_A_2_A_2_E_2_D	0.392
3u0g_A	_7_i_4_e_0_-_0_-_3_c_0_-_3_l_2_D_2_D	_1_k_8_k_5_H_13_H_2_e_1_D_17_l_4_D_5_C	0.359
4qez_B	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D	_5_b_13_A_2_i_3_G_7_g_0_-_0_-_5_D	0.413
4rz9_A	_7_i_4_e_3_c_3_l_2_D_2_D	_1_j_3_h_4_k_2_k_3_D_5_D	0.643
1ocx_A	_4_e_3_c_3_l_2_D_2_D	_0_e_9_n_5_j_6_B_3_B	0.443
4kd6_A	_0_b_7_i_4_e_3_c_3_l	_5_c_6_g_4_e_5_A_2_l	0.575
2pwa_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_7_b_3_E_10_i_10_E_0_-_9_m_5_E_3_A_2_j_2_E	0.367
7ecq_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_6_g_7_F_8_h_5_b_0_-_5_F_9_C	0.480
1xdi_A	_7_i_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_3_k_4_F_5_d_0_-_2_m_12_q_3_C_1_C	0.418
6jyy_B	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_7_j_5_D_0_g_0_-_8_k_2_D_3_C	0.582
5kkc_B	_7_i_4_e_0_-_3_c_0_-_3_l_2_D_0_-_0_-_2_D	_3_j_2_b_4_C_3_c_4_C_6_m_4_C_4_j_3_b_0_B	0.354
2nmb_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_i_4_I_0_-_7_j_7_C_6_C	0.374
3pb7_X	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_i_2_a_7_b_8_l_5_H_6_H_6_G	0.449
3l8n_A	_0_b_7_i_4_e_3_c_3_l	_7_d_24_f_9_e_2_e_7_j	0.600
1p80_A	_0_b_0_-_0_-_7_i_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_64_b_4_h_2_l_4_j_3_j_5_c_14_b_13_D_6_k_2_E_4_B	0.397
1x1r_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_4_b_0_-_3_f_2_F_3_d_1_j_6_E_11_j_3_D	0.534
2dh2_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_7_b_3_g_7_D_2_b_3_b_27_d_5_k_1_d_1_E_4_F	0.488
2ptz_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_7_i_5_C_7_h_5_C_1_c_2_k_3_D_9_h_3_B	0.461
5gp4_C	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_b_1_c_14_j_6_b_11_h_12_m_9_D_2_o_10_D	0.545
4nee_C	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_k_0_-_0_-_10_l_24_D_2_f_24_D	0.494
7ddq_M	_0_b_0_-_7_i_4_e_3_c_3_l	_7_b_1_r_4_k_5_d_2_b_5_k	0.491
3rde_D	_0_b_7_i_0_-_4_e_0_-_3_c_3_l	_5_b_1_g_8_p_3_d_2_h_9_b_8_l	0.471
2aaf_B	_0_b_7_i_0_-_4_e_3_c_0_-_0_-_3_l_0_-_2_D_0_-_2_D	_0_b_4_k_4_B_3_c_1_c_0_D_1_C_5_l_1_c_4_C_13_b_0_D	0.439
2hyp_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_14_j_7_C_10_c_6_g_0_-_4_E_6_D	0.523
2x7j_C	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_3_c_2_i_3_F_2_b_15_b_3_B_7_n_5_F_34_j_4_D	0.448
6qim_B	_0_b_0_-_0_-_7_i_4_e_3_c_3_l	_1_b_9_o_18_m_5_j_0_-_2_c_4_l	0.430
1up8_A	_0_b_7_i_4_e_3_c_0_-_3_l	_10_c_31_k_2_d_19_e_11_b_22_l	0.568
2e5w_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_4_k_5_E_4_e_7_E_2_e_10_e_6_D_2_d_5_F	0.355
3tlx_B	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_0_g_5_j_6_j_2_b_2_D_5_k_5_E_2_h_1_C	0.434
1uh9_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_3_b_8_f_7_E_2_b_3_D_4_b_0_-_5_C_8_C	0.436
5ooi_A	_0_b_7_i_4_e_3_c_3_l	_5_b_2_i_4_b_3_d_2_g	0.588
6l3s_A	_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_5_j_4_E_5_c_2_e_4_C_0_h_7_B_3_C_4_C	0.363
1svc_P	_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_2_m_3_c_2_e_11_l_6_J_5_C_3_F	0.498
5lnw_C	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_2_i_3_C_4_f_8_i_4_E_3_i_3_D_13_b_4_D	0.386
5hos_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_22_h_0_-_4_E_1_c_9_l_3_E_4_A	0.547
2j4t_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_i_9_i_9_D_4_f_0_-_3_B_4_C	0.452
1s7m_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_12_g_1_b_3_A_20_d_0_-_2_E_9_E	0.522
6uda_I	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_8_k_8_b_3_B_7_c_0_-_5_E_6_F	0.465
3s6b_A	_7_i_4_e_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_0_g_11_d_3_c_35_c_12_p_7_k_3_A_4_b_4_D	0.440
4nzj_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_12_c_5_k_4_C_15_j_14_f_2_f_0_-_8_D_3_F	0.445
7odu_B	_7_i_4_e_3_c_3_l_2_D_2_D	_6_i_3_A_0_-_5_i_5_E_27_D	0.421
6day_D	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D	_4_b_0_C_8_h_1_f_3_B_5_f_4_m_4_C	0.502
2cy2_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_2_m_6_e_0_-_2_k_6_E_5_H_10_G	0.397
4kqv_B	_4_e_3_c_3_l_2_D_2_D	_2_d_1_b_7_m_4_E_5_D	0.798
1h6d_A	_0_b_0_-_7_i_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_5_b_6_F_3_i_4_b_0_A_4_e_5_C_3_k_3_C_7_k_3_B	0.424
2obp_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_k_10_g_0_-_4_j_3_D_5_D	0.574
6bfn_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_2_b_1_A_7_b_2_d_5_m_4_C_2_C	0.593
5thp_J	_7_i_4_e_3_c_3_l_2_D_2_D	_5_h_6_A_0_-_5_k_6_F_30_D	0.439
4hni_B	_0_b_0_-_7_i_4_e_3_c_3_l	_26_c_6_m_13_k_2_c_6_i_9_l	0.413
4hfu_A	_4_e_0_-_3_c_3_l_2_D_2_D	_2_f_5_E_3_b_0_-_9_E_2_B	0.387
2qe7_G	_0_b_7_i_4_e_3_c_3_l	_1_b_19_g_22_j_40_c_5_q	0.552
1bja_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_f_6_j_5_e_0_-_6_j_4_C_2_C	0.592
4ofx_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_2_j_3_B_8_f_1_h_5_D_4_k_4_F_14_D	0.470
7r8w_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_d_11_h_0_-_2_c_0_-_3_D_7_F	0.497
1m8r_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_0_-_4_c_18_k_12_D_2_D	0.717
4cl3_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_0_b_3_j_1_h_0_-_6_l_4_I_1_b_1_J_2_D	0.475
1d4a_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l	_5_b_8_g_5_b_2_A_3_B_2_b_2_l	0.472
4k35_B	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_3_d_4_j_2_c_2_c_4_n_7_C_4_C	0.770
5a3g_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_8_B_1_c_0_-_8_D_3_B	0.426
4mck_A	_0_b_7_i_0_-_4_e_3_c_3_l	_0_g_14_g_11_n_40_j_9_c_1_l	0.430
6w3z_C	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_5_j_5_f_4_A_7_k_6_k_4_E_3_j_6_D	0.451
2aca_A	_4_e_0_-_3_c_3_l_2_D_2_D	_2_d_12_H_4_c_0_-_3_G_3_F	0.420
4euk_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_2_i_4_D_7_k_3_d_0_-_11_D_3_b_1_e_4_C	0.350
4dja_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l	_4_b_6_d_4_j_5_e_22_f_2_c_14_j	0.508
1d5v_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_i_8_j_2_c_4_j_3_B_13_B	0.665
4lxv_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_2_b_11_B_16_g_2_F_4_c_0_-_0_-_10_D_4_A_4_B_10_E	0.379
7c20_A	_0_b_7_i_4_e_0_-_3_c_3_l	_1_c_3_g_5_f_5_j_1_e_2_k	0.503
1k3t_A	_0_b_0_-_7_i_4_e_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_2_b_2_C_2_g_0_-_1_b_3_G_5_G_6_k_6_C_5_c_6_C	0.373
3kby_A	_0_b_7_i_0_-_4_e_3_c_0_-_0_-_3_l	_4_b_5_k_1_b_3_i_2_c_15_A_2_A_7_k	0.378
2i3c_A	_7_i_0_-_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_6_i_4_b_4_F_2_d_9_b_3_c_8_k_10_F_5_D	0.493
3wc3_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l	_4_b_6_D_5_m_4_n_4_c_1_d_7_l	0.386
4wxy_F	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_2_c_4_C_4_i_3_h_4_B_2_d_0_-_0_C_10_E	0.527
1jhb_A	_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_0_e_0_-_5_D_4_j_8_D_6_j_6_C	0.384
4bva_B	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_3_i_5_A_3_d_4_C_10_b_0_-_5_C_12_e_1_C	0.418
4ggg_B	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_2_i_4_A_0_g_0_-_3_k_3_E_2_E	0.596
1bvu_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_2_b_2_m_5_A_8_l_5_c_5_b_8_l_8_D_3_h_7_E	0.487
2af4_C	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_3_f_3_i_5_C_6_e_14_F_9_D_9_n_4_D_10_l_4_E	0.356
4n0z_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_0_k_2_D_4_j_4_b_0_D_6_j_6_C_2_C	0.379
1iyx_A	_0_b_7_i_4_e_3_c_0_-_3_l_0_-_0_-_0_-_2_D_0_-_2_D	_22_b_0_-_3_e_5_c_7_j_9_n_3_e_5_A_1_A_1_D_1_b_8_D	0.408
4dbg_B	_0_b_7_i_0_-_4_e_3_c_3_l	_1_b_4_i_4_o_4_b_1_f_4_j	0.426
2i6g_B	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_0_d_8_e_6_D_5_g_3_D_6_c_0_-_8_C_14_D	0.463
5yq7_L	_0_b_7_i_4_e_3_c_3_l	_5_c_14_j_11_n_12_e_11_o	0.404
4zu2_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_2_b_5_l_6_E_0_b_7_i_1_n_4_E_2_B_1_e_4_D	0.375
3dd5_C	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_0_c_8_E_12_k_1_b_0_D_8_d_6_m_4_F_1_j_3_e_0_F	0.354
2vq3_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_1_i_3_C_5_e_4_g_0_-_4_D_5_e_7_E	0.564
3hrg_A	_7_i_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_7_j_1_c_4_B_10_b_2_h_8_A_2_B_4_B	0.400
3trr_D	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_2_b_5_l_5_E_0_b_7_d_0_-_21_D_2_B_1_f_3_D	0.410
3qoa_A	_4_e_3_c_0_-_3_l_2_D_0_-_0_-_0_-_2_D	_0_d_13_c_18_b_4_m_0_C_4_b_6_A_3_A_5_D	0.395
1huz_A	_0_b_7_i_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_1_h_7_h_5_c_8_g_1_d_2_A_0_m_4_C_9_A_2_E	0.479
1y6v_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_5_b_5_g_3_D_2_c_1_A_9_f_0_-_3_B_2_e_9_C	0.420
1esf_A	_4_e_3_c_3_l_0_-_2_D_2_D	_0_c_7_b_4_e_7_F_9_C_7_D	0.431
6f93_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_0_c_1_l_2_A_9_f_2_b_6_k_3_B_5_j_5_D	0.477
7b2o_E	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_1_d_2_j_10_j_3_C_15_i_0_-_3_C_6_b_11_C	0.373
3ome_F	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_2_b_5_l_5_E_17_g_6_e_0_-_5_D_2_B_0_f_4_D	0.410
2ibi_A	_7_i_4_e_3_c_3_l_2_D	_6_j_2_g_3_c_8_l_6_A	0.715
1ynp_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_12_k_4_B_10_g_3_b_1_D_2_l_4_E_8_k_2_F	0.400
1ml9_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_10_b_4_b_10_A_10_e_3_A_15_c_0_-_5_D_5_C	0.562
7fbw_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D	_2_b_3_h_3_A_14_j_4_E_3_l_2_B	0.423
4kfw_B	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_3_b_2_E_4_d_6_E_9_f_0_-_5_F_5_E	0.367
2uvl_B	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_c_2_i_8_e_0_-_0_-_2_B_6_B	0.455
4ii3_A	_7_i_4_e_3_c_3_l_0_-_0_-_0_-_2_D_0_-_2_D	_7_g_21_d_6_c_18_l_7_g_7_n_5_b_2_D_0_b_1_D	0.445
1hbn_B	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_0_c_5_j_0_D_0_i_0_-_19_l_8_D_0_b_1_D	0.569
1q19_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_5_g_4_d_2_j_1_e_0_-_5_D_5_D	0.630
2cvc_A	_0_b_0_-_7_i_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_24_b_4_e_7_g_3_f_8_c_11_c_9_k_9_b_4_B_9_B	0.511
1cjw_A	_0_b_7_i_4_e_0_-_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_5_b_6_i_1_b_0_E_2_J_6_d_7_H_8_k_6_E_1_g_3_E	0.426
2vgb_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_4_c_6_k_3_C_1_c_4_m_2_j_6_l_3_D_4_f_6_E	0.406
1w0h_A	_0_b_0_-_7_i_4_e_3_c_3_l	_5_b_2_B_0_h_3_b_6_b_9_k	0.518
1z9h_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_6_b_9_E_2_D_2_k_3_f_0_-_0_-_2_D_5_D	0.463
5mtc_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_c_12_k_4_B_0_c_0_-_5_E_2_K_4_D	0.442
7rll_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D	_2_b_3_F_9_g_0_-_1_c_0_-_5_D	0.486
3ntv_A	_0_b_0_-_0_-_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_2_b_1_c_7_B_5_j_5_D_3_e_1_d_1_c_2_j_4_E_5_F	0.465
3bl8_C	_0_b_0_-_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_4_c_11_l_5_j_10_j_5_j_4_E_20_c_17_n_35_C_4_B	0.420
2wbl_C	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D	_8_b_9_F_3_e_5_f_5_E_7_e_8_i_4_C	0.414
1tvc_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_9_i_4_C_17_h_0_-_0_-_5_D_2_k_5_C	0.385
1z69_A	_7_i_0_-_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_8_i_5_C_2_A_5_l_5_C_3_e_7_l_4_C_4_D	0.422
3ckm_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_2_c_4_h_12_g_1_e_0_-_5_B_2_D	0.574
6vgr_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_3_b_0_-_12_e_2_H_2_b_4_m_4_B_3_e_3_G	0.482
2abq_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_14_c_4_D_2_i_3_A_3_g_0_-_6_k_4_D_1_b_1_D	0.501
6zzs_D	_0_b_7_i_4_e_0_-_3_c_3_l_2_D	_9_b_2_g_5_l_3_E_2_b_7_n_5_G	0.429
1y9w_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_1_b_4_l_4_F_0_b_1_e_0_-_3_E_8_G	0.438
7qg7_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_2_g_3_D_9_h_0_-_3_k_7_D_6_D	0.602
1ywn_A	_4_e_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_0_c_3_b_0_H_4_G_7_G_2_m_8_D_7_D	0.356
1d2n_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_2_c_11_i_9_G_2_e_0_-_0_-_8_C_3_B	0.460
2gmw_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_0_-_2_D	_15_b_6_i_3_F_2_c_0_-_4_m_6_D_8_b_11_i_3_b_1_C	0.441
1rh5_A	_0_b_7_i_0_-_0_-_0_-_4_e_3_c_3_l_2_D_2_D	_18_d_12_i_15_r_8_r_4_n_4_g_7_b_1_l_3_D_11_D	0.442
1gp7_A	_7_i_4_e_3_c_3_l_0_-_0_-_2_D_2_D	_0_j_0_-_6_c_17_m_1_b_5_c_4_C_2_C	0.509
2q7x_A	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_1_e_4_G_11_g_3_A_9_c_3_f_4_B_13_j_6_D_22_c_4_D	0.402
2n8q_A	_7_i_0_-_0_-_4_e_3_c_3_l_2_D	_0_i_4_E_23_F_7_g_6_c_0_-_4_E	0.437
3w9u_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_0_F_7_i_6_n_3_f_1_i_15_A_2_G	0.384
4nt4_A	_0_b_0_-_7_i_4_e_3_c_3_l	_26_c_6_m_12_j_4_c_6_i_9_k	0.412
4mhg_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_2_b_3_D_4_C_2_j_0_-_0_-_7_k_3_B_6_C	0.435
1ku1_A	_0_b_7_i_4_e_0_-_3_c_3_l	_1_i_8_i_6_g_2_j_8_g_9_m	0.363
6l7n_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_m_2_c_15_e_0_-_2_E_8_F	0.425
2jio_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_0_c_2_j_8_d_3_D_3_c_1_k_4_D_5_d_2_B	0.604
4f4e_A	_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_16_j_13_j_4_c_3_F_0_l_5_D_3_h_4_D	0.581
6xm7_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_12_b_2_H_2_G_3_h_10_b_2_b_0_-_10_D_2_D	0.501
1s48_A	_0_b_0_-_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_7_b_2_C_3_j_11_i_4_b_8_c_19_c_2_j_8_D_3_B	0.521
3pqd_B	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_3_c_2_h_2_g_0_-_5_l_4_I_1_b_1_J_2_D	0.425
4pnp_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_4_b_3_c_1_f_5_I_9_H_0_c_26_k_7_F_8_h_4_B	0.405
4w8l_A	_0_b_7_i_0_-_4_e_0_-_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_5_c_9_j_3_D_9_c_11_n_5_E_11_b_3_d_10_k_4_E_6_l_6_C	0.355
