2hv6_A	_0_i_3_d_2_f_4_o_9_b	_7_i_7_d_1_f_4_j_4_c	0.627
2bme_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C	_2_I_3_g_7_F_3_d_1_j_5_F_1_e_4_i_3_C	0.368
2j4t_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_i_9_i_9_D_4_f_0_-_0_-_3_B_4_C_3_G_10_G	0.446
1s7m_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_12_g_1_b_0_-_3_A_20_d_2_E_9_E_12_G_2_H	0.440
6uda_I	_0_I_0_-_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_I_5_D_1_l_8_B_7_c_0_-_1_B_1_b_1_C_8_A_0_-_8_G	0.395
3s6b_A	_0_i_3_d_0_-_2_f_4_o_0_-_0_-_9_b_1_C_5_D_3_J_3_I	_0_g_11_d_3_c_35_c_12_p_7_k_3_A_4_b_4_D_2_B_13_I_2_I	0.530
4nzj_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_15_j_14_f_2_f_0_-_0_-_8_D_3_F_5_F_5_E	0.434
2bw2_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_5_J_0_-_0_-_0_f_4_E_2_F_6_b_4_C_3_D	0.351
5yfj_A	_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_2_i_3_D_2_b_2_d_0_-_10_b_3_c_13_C_1_b_2_C	0.388
1h6d_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_6_H_7_f_1_c_9_j_3_H_5_b_5_G_4_F_0_-_5_G	0.451
2obp_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_k_0_-_10_g_4_j_0_-_3_D_5_D	0.393
4hni_B	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_0_-_9_b_1_C_0_-_5_D	_5_G_2_f_0_-_8_F_2_F_5_f_6_n_2_A_5_b_0_B_2_b_3_B	0.367
6flm_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_k_3_d_0_-_16_C_0_-_4_C_18_C_7_H_3_G	0.422
3ge5_B	_0_I_0_i_3_d_0_-_0_-_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J	_3_E_2_i_5_b_2_F_6_A_2_A_1_f_0_-_4_c_0_-_3_D_4_f_7_G	0.373
4hfu_A	_3_d_0_-_0_-_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_5_e_16_B_9_B_2_f_5_E_3_b_9_E_2_B_4_B_10_E_5_I	0.368
2qe7_G	_0_i_3_d_2_f_4_o_9_b	_44_f_1_b_19_g_22_j_40_c	0.430
4qx6_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_5_H_5_j_4_C_5_c_0_-_0_-_0_-_6_C_0_b_1_D_0_-_2_I	0.442
1bja_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_6_j_5_e_6_j_0_-_0_-_4_C_2_C	0.426
7r8w_A	_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_d_11_h_0_-_2_c_3_D_7_F_0_-_2_H	0.475
1m8r_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_j_4_c_18_k_0_-_0_-_12_D_2_D	0.420
1d4a_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_2_F_7_i_12_b_6_F_5_b_8_g_0_-_5_b_2_A_3_B	0.425
4k35_B	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_4_j_2_c_2_c_4_n_0_-_7_C_4_C	0.575
6w3z_C	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_4_E_2_c_2_i_5_B_2_h_6_A_6_e_2_C_2_C	0.390
4dja_A	_0_i_3_d_2_f_4_o_9_b	_7_i_1_d_12_c_5_k_4_b	0.566
1d5v_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_8_j_2_c_4_j_0_-_0_-_3_B_13_B	0.387
4lxv_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_5_I_3_g_0_-_0_-_0_-_0_-_6_C_4_C_15_H_4_E	0.387
4ir8_B	_2_f_4_o_0_-_0_-_0_-_9_b_1_C_5_D_3_J_0_-_3_I	_0_f_4_p_4_D_5_B_0_l_1_b_2_E_2_E_6_H_4_b_3_H	0.379
7v2r_Q	_0_i_3_d_2_f_0_-_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_7_e_5_c_7_c_5_b_12_p_18_c_3_j_7_H_0_-_2_H_5_F	0.395
1y56_B	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_j_4_C_8_c_0_-_11_o_0_-_3_A_3_D	0.485
1xxl_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D_3_J	_0_J_5_k_9_d_2_b_1_K_0_g_3_j_3_e_3_A_0_-_5_L	0.353
3tj0_A	_0_i_3_d_2_f_4_o_9_b	_3_e_7_b_7_f_5_m_1_b	0.588
4blk_A	_0_i_3_d_2_f_4_o_9_b_1_C	_0_g_4_e_0_-_4_l_5_b_1_A	0.411
4wxy_F	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D_0_-_3_J_3_I	_0_D_5_i_3_D_2_c_4_C_4_i_3_h_4_B_2_d_0_C_10_E_6_b_1_F_3_G	0.387
4bva_B	_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_1_e_4_l_1_b_2_A_4_D_0_b_1_I_4_I	0.597
2p13_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_g_0_-_13_h_0_-_0_-_8_C_2_D_0_-_10_E	0.352
4ggg_B	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_i_4_A_0_g_3_k_0_-_3_E_2_E	0.356
1iyx_A	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_5_H_4_D_22_b_3_e_5_c_7_j_9_n_3_e_5_A_1_A_1_D	0.417
4dbg_B	_0_i_3_d_2_f_4_o_9_b	_3_j_1_b_4_i_4_o_4_b	0.727
2i6g_B	_3_d_2_f_0_-_4_o_0_-_9_b_1_C_5_D_0_-_3_J	_0_d_8_e_6_D_5_g_3_D_6_c_8_C_14_D_7_f_8_E	0.371
5yq7_L	_0_i_3_d_0_-_0_-_2_f_4_o_9_b	_5_k_5_c_14_j_11_n_12_e_11_o_10_b	0.428
4hdo_B	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C	_2_I_5_f_2_F_3_d_1_j_6_E_4_b_4_i_4_C	0.378
3skj_E	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_6_I_0_-_1_b_0_-_11_G_9_b_1_E_7_d_6_F_6_G_4_J	0.373
2etm_B	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_7_F_6_k_10_D_5_D_6_f_6_n_10_b_0_D_2_C	0.457
3qoa_A	_3_d_2_f_0_-_4_o_0_-_9_b_1_C_0_-_5_D	_0_d_13_c_18_b_4_m_0_C_4_b_6_A_3_A_5_D	0.385
1sy7_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_0_-_3_I	_2_G_9_j_15_h_1_i_2_b_4_b_2_A_4_C_5_I_8_i_3_j_5_I	0.496
1vym_A	_9_b_1_C_5_D_0_-_3_J_3_I	_0_b_2_C_3_E_0_h_6_E_6_E	0.461
1huz_A	_0_i_3_d_2_f_0_-_0_-_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_7_h_5_c_8_g_1_d_2_A_0_m_0_-_4_C_9_A_2_E_12_j_3_F_3_E	0.425
1x8q_A	_9_b_1_C_5_D_3_J_3_I	_2_b_5_H_2_H_6_J_2_H	0.558
4oa3_A	_0_I_0_i_0_-_0_-_3_d_2_f_4_o_9_b_1_C	_6_F_6_j_10_F_4_E_1_c_8_j_4_n_0_-_15_B	0.403
1zjk_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_10_I_14_D_17_e_5_E_13_G_1_f_0_-_0_-_14_C_16_E_4_J_9_D	0.419
1y6v_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_10_j_6_F_1_f_3_q_0_-_2_E_7_B_8_E_5_E_14_E	0.417
1esf_A	_3_d_2_f_4_o_9_b_0_-_1_C_5_D_0_-_3_J_3_I	_0_c_7_b_0_-_4_e_7_F_9_C_7_D_3_f_4_G_11_D	0.368
2jeu_A	_4_o_9_b_0_-_1_C_5_D_3_J_0_-_3_I	_3_o_2_c_9_d_0_-_0_-_6_J_2_M_2_H	0.388
7b2o_E	_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_0_-_3_I	_0_g_3_o_0_-_9_C_2_C_0_k_4_E_13_H_1_e_3_H	0.460
3ome_F	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_5_E_17_g_6_e_5_D_2_B_0_f_0_-_0_-_4_D_3_B	0.395
3rqa_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_5_I_0_-_0_-_7_m_8_o_0_-_7_E_3_E_8_E_9_J_4_F	0.457
4c1q_B	_9_b_1_C_5_D_0_-_0_-_3_J_3_I	_4_b_3_D_5_D_8_c_1_A_8_E_2_E	0.368
2x5i_C	_3_d_0_-_2_f_4_o_9_b_0_-_1_C_0_-_5_D_3_J_3_I	_0_c_3_A_6_b_0_-_3_b_3_B_9_C_12_e_4_B_2_F_8_F	0.374
7fbw_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_0_-_9_b_0_-_1_C_0_-_5_D	_0_G_6_j_5_C_1_e_1_h_3_C_12_n_5_A_2_b_3_h_3_A_14_j_4_E	0.389
3f1l_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_5_E_6_e_5_b_4_j_0_-_1_b_6_B	0.381
2uvl_B	_3_d_2_f_4_o_9_b_1_C_5_D	_0_c_2_i_0_-_8_e_2_B_6_B	0.370
4ii3_A	_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_7_g_21_d_6_c_18_l_7_g_7_n_5_b_2_D_0_b_1_D	0.478
3bpm_B	_0_i_0_-_3_d_0_-_2_f_4_o_0_-_9_b_0_-_1_C_0_-_5_D_0_-_3_J_3_I	_0_g_11_A_0_b_15_m_7_f_11_i_3_B_15_b_3_A_3_C_2_i_3_D_3_d_15_J_3_F	0.384
3hrw_A	_0_i_0_-_3_d_2_f_4_o_9_b	_0_j_1_m_2_d_0_-_10_m_13_b	0.536
1q19_A	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_E_4_D_4_D_5_g_4_d_2_j_0_-_1_e_5_D_5_D	0.443
2cvc_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_7_g_3_f_8_c_11_c_9_k_9_b_4_B_9_B	0.515
1cjw_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_3_j_5_b_6_i_0_-_1_b_0_-_0_E_2_J_6_d_7_H	0.539
1dr9_A	_9_b_1_C_0_-_5_D_3_J_3_I	_4_b_1_H_6_K_6_E_5_J_3_F	0.417
1iea_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_G_2_F_4_C_2_d_0_-_5_o_0_-_0_-_11_E_9_J_4_E	0.401
1w0h_A	_0_I_0_-_0_i_3_d_2_f_0_-_4_o_9_b_1_C	_13_I_5_H_9_f_3_d_4_i_11_D_6_i_5_b_2_B	0.423
3bl8_C	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_0_-_1_C_5_D_3_J	_7_H_6_b_38_d_1_g_8_F_2_F_9_b_3_f_2_B_22_n_1_J	0.356
2a5d_A	_0_I_0_i_0_-_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_2_G_3_i_5_F_3_l_2_b_3_F_9_f_0_-_2_b_0_-_5_D	0.420
1z69_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_1_I_3_m_3_e_4_j_0_-_3_b_7_f_1_B_1_k_0_-_4_G	0.380
4kq7_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_3_I_0_-_7_b_0_B_10_C_0_c_10_A_0_-_3_C_5_C_8_F_7_H_8_I	0.430
1cnz_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_6_E_0_i_1_b_2_C_1_l_2_b_1_D_5_D	0.507
6zzs_D	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_5_G_5_k_3_b_6_b_8_j_1_b_6_C	0.517
1y9w_A	_4_o_9_b_1_C_5_D_3_J_3_I	_0_m_3_b_0_-_4_G_5_I_2_H	0.462
1gp7_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_0_j_6_c_0_-_17_m_1_b_5_c_4_C_2_C	0.627
2q7x_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_0_-_9_b_0_-_1_C_5_D	_4_G_11_g_3_A_9_c_3_f_4_B_13_j_6_D_22_c_4_D_2_C_2_C	0.436
4nt4_A	_0_I_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_5_F_8_j_13_E_5_E_5_f_6_n_2_A_5_b_0_B_10_B	0.415
7aqk_e	_0_i_3_d_0_-_2_f_4_o_9_b	_5_i_15_b_8_q_9_g_0_-_2_b	0.408
1ku1_A	_0_i_3_d_0_-_2_f_4_o_9_b	_8_i_6_g_2_j_8_g_9_m_5_b	0.453
6l7n_A	_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_0_i_2_E_4_b_0_-_0_-_3_b_1_A_4_C_9_b_0_C	0.372
4lt7_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_H_0_-_0_b_1_I_12_G_0_-_4_b_0_B_10_G_4_e_1_H_5_I	0.375
4po5_A	_0_i_0_-_0_-_3_d_2_f_4_o_9_b	_6_j_2_k_1_l_1_c_0_-_8_p_3_b	0.351
6xm7_A	_0_I_0_i_3_d_2_f_0_-_0_-_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_2_G_3_h_10_b_2_b_10_D_2_D_6_B_6_C_2_b_11_A_6_E_8_F_5_G	0.383
1jh3_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_0_g_4_C_6_g_5_h_0_-_0_-_3_B_2_A_17_E_4_F	0.360
1q5z_A	_0_i_3_d_2_f_4_o_9_b	_4_j_2_b_1_l_4_l_5_b	0.396
4gh9_A	_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_4_j_1_b_6_B_3_b_2_e_0_A_7_b_1_E_5_E	0.400
1f0n_A	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C	_4_F_10_j_5_d_5_d_6_e_3_D_13_p_0_-_5_C	0.476
4o8o_A	_9_b_1_C_5_D_3_J_3_I	_0_b_9_D_7_G_5_G_5_G	0.604
5fdx_A	_0_I_0_i_0_-_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_9_G_5_k_10_C_7_D_6_e_2_A_3_A_1_n_9_b_0_B_5_B	0.357
1gve_A	_0_I_0_-_0_i_0_-_3_d_0_-_2_f_4_o_0_-_9_b_1_C	_4_F_6_b_2_g_2_D_3_e_4_d_13_g_2_m_6_j_5_b_2_C	0.379
5ikb_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_1_E_0_-_7_d_5_B_5_f_4_j_9_i_2_E_0_h_4_B	0.351
1p90_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_3_G_0_-_1_d_3_g_0_-_0_-_5_C_4_h_3_C	0.389
6zzl_A	_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_b_0_-_2_l_6_b_4_C_1_c_14_C_4_H_2_M	0.438
4eqm_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_5_G_6_k_10_E_3_F_6_g_4_n_9_b_0_B_5_B	0.454
4obm_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_4_k_1_A_3_d_2_g_7_A_0_-_5_C_2_C	0.429
2cfc_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_0_-_8_c_2_g_10_j_0_-_10_C	0.400
2es9_A	_0_i_3_d_2_f_4_o_9_b	_0_i_11_k_6_i_4_l_9_b	0.493
2ffi_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_12_i_4_A_5_b_4_h_0_-_15_d_7_B_14_i_2_C	0.433
6eeq_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_H_10_i_3_D_3_c_3_f_0_-_2_b_2_D_10_D	0.713
1muj_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_4_G_2_F_4_C_2_c_0_-_6_o_0_-_11_E_9_I_5_E_8_B_3_A_5_H_7_E	0.354
3deb_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_7_E_0_f_1_e_0_-_2_o_0_-_4_B_1_m_2_A	0.391
6gps_A	_2_f_0_-_4_o_9_b_1_C_5_D	_2_f_8_t_10_q_0_-_0_E_2_E	0.354
5w10_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_i_4_b_3_f_0_-_2_e_3_B_2_A	0.428
1gv3_A	_0_i_3_d_2_f_0_-_4_o_9_b_0_-_1_C_5_D_0_-_3_J	_7_j_2_d_2_e_1_b_5_n_11_j_2_k_4_F_5_F_4_c_2_F	0.362
6nvu_A	_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_2_i_5_A_4_c_3_e_1_A_1_j_6_j_0_-_18_F_8_J_5_J	0.482
1ta0_A	_9_b_1_C_5_D_3_J_3_I	_0_b_4_B_6_C_8_F_2_H	0.622
4wxk_D	_3_d_2_f_4_o_0_-_9_b_1_C_5_D_3_J_0_-_0_-_3_I	_0_c_0_-_10_l_4_B_0_c_5_C_0_-_9_J_5_A_9_A_5_F	0.362
1jji_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_1_J_1_l_5_F_10_d_9_j_3_d_5_b_0_-_0_-_8_G_3_k_4_I	0.380
1nez_A	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_I_2_E_6_B_2_k_0_-_1_g_5_k_0_-_7_G_0_-_5_J_4_E	0.368
1d3v_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_0_D_9_j_2_d_6_E_17_n_0_-_3_D_3_k_4_D	0.370
2eb0_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_1_F_12_C_5_i_3_c_8_l_9_k_4_m_2_d_3_E_2_I_3_n_4_G_4_G	0.411
1vl5_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_K_3_k_9_d_7_A_4_F_0_e_4_j_3_e_3_B_0_-_0_-_2_I	0.391
3uxy_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_0_-_7_e_4_h_10_j_1_b_6_C	0.542
1u79_A	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D_3_J	_11_H_5_C_0_c_3_C_7_g_12_E_1_b_2_b_1_C_2_C_5_J	0.482
2cvh_A	_0_I_0_i_3_d_2_f_0_-_4_o_0_-_9_b_0_-_1_C_0_-_5_D_3_J_3_I	_2_E_6_h_0_-_5_f_0_C_6_j_4_F_7_c_4_m_3_D_16_d_3_F_5_G_8_F	0.367
1r0p_A	_0_I_0_i_0_-_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_G_5_l_11_D_3_F_6_e_0_-_7_n_9_b_0_B_5_B	0.426
5wkj_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_0_-_3_J_3_I	_2_G_2_D_0_c_10_f_0_-_2_b_0_C_4_A_1_F_2_E_9_B_7_G_2_H	0.507
1ycg_A	_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_4_k_7_C_4_c_2_f_4_C_1_i_0_-_6_C_5_B_0_-_4_E	0.382
1zma_A	_3_d_0_-_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J	_0_d_4_A_2_h_4_E_4_m_0_-_4_C_3_k_6_E_2_D	0.386
3ulx_A	_0_i_3_d_0_-_2_f_4_o_9_b_0_-_1_C_5_D_0_-_0_-_3_J_3_I	_0_b_6_d_9_A_2_b_2_b_1_b_6_F_7_B_2_D_4_B_7_I_6_J_8_G	0.407
6m8v_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D	_5_E_1_j_4_c_0_-_4_C_6_b_7_F_1_h_5_j_3_E	0.351
1u00_A	_9_b_1_C_5_D_3_J_3_I	_5_b_1_G_12_F_5_F_5_E	0.412
3mgf_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_0_-_0_-_1_C_5_D_3_J_3_I	_1_I_0_-_10_c_0_-_0_-_15_c_5_H_4_J_2_J_12_C_2_G_2_J_4_J	0.413
1xrs_A	_0_I_0_i_0_-_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_4_D_5_j_3_B_4_e_3_m_3_B_3_c_8_m_4_b_0_A_1_B	0.358
2f2e_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_c_6_e_5_g_3_k_0_-_4_B_6_B	0.362
5ue7_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_0_E_13_k_1_D_4_g_3_b_3_C_0_b_1_C_2_D	0.407
4irx_A	_0_I_0_i_0_-_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D	_3_G_4_k_7_C_6_f_8_B_5_g_4_C_2_m_0_-_6_B_2_B	0.365
3ma0_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_3_E_4_k_4_C_8_h_0_-_0_-_3_D_10_D_1_l_3_F_5_n_3_G	0.352
1pqu_A	_0_I_0_-_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_3_I_1_b_2_l_2_c_6_j_17_A_13_k_0_-_8_C_2_A_0_-_4_I	0.454
7mrl_C	_0_i_3_d_2_f_4_o_9_b	_14_k_4_d_1_m_2_m_7_j	0.398
1yje_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_j_3_b_18_p_9_p_0_-_6_B_4_C	0.427
5i0x_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_0_-_0_-_1_C_5_D_3_J_3_I	_0_I_2_G_0_-_0_-_0_-_0_-_13_b_2_H_17_G_5_D_1_D_2_G_5_I	0.377
1i4j_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J	_0_G_3_j_0_-_4_i_5_m_5_b_0_-_0_K_12_J	0.519
1lq9_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C	_0_H_2_j_5_d_3_G_5_G_2_c_7_j_0_-_9_D	0.439
1ddz_A	_0_I_0_i_0_-_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D	_7_E_9_g_9_F_3_d_9_c_1_g_2_c_5_o_1_g_5_F_7_E	0.440
4g4p_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J	_4_I_0_-_8_c_3_D_3_k_0_-_0_-_2_D_2_e_8_D_0_h_4_K	0.350
3twr_C	_0_i_3_d_2_f_4_o_9_b	_0_j_2_f_17_f_3_h_14_f	0.351
1jnu_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_1_f_3_c_4_c_6_k_0_-_3_G_0_-_5_J_8_H	0.422
6l0c_A	_0_I_0_-_0_i_0_-_3_d_2_f_0_-_4_o	_2_G_5_E_4_k_4_B_3_c_2_i_2_A_4_m	0.359
2dq7_X	_0_I_0_i_0_-_0_-_0_-_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_3_E_8_j_10_D_5_D_4_A_0_d_0_-_9_n_2_A_5_b_0_C_3_C	0.401
1e6p_A	_0_I_0_-_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_0_-_0_-_0_-_3_J_3_I	_8_F_2_c_3_g_4_D_29_c_6_f_8_h_6_b_0_E_1_D_32_d_5_B_0_h_4_E_4_E	0.379
4eek_A	_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_4_i_3_c_3_A_1_c_8_h_0_-_4_b_0_D_2_i_2_D	0.479
4z1o_A	_4_o_0_-_9_b_1_C_5_D_3_J_0_-_3_I	_0_m_6_E_3_j_4_F_7_E_7_H_3_j_5_H	0.364
1ewk_A	_0_I_0_i_0_-_0_-_0_-_3_d_0_-_0_-_2_f_0_-_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_2_G_5_j_7_D_2_k_6_C_7_c_3_c_3_D_5_f_13_g_34_o_8_b_4_h_2_B_5_B_10_G_5_I	0.428
6d69_A	_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_0_b_1_D_5_D_15_B_4_E_0_b_1_E	0.371
3q4g_A	_0_i_3_d_2_f_4_o_9_b	_20_i_4_c_11_h_5_k_1_c	0.571
7ml4_K	_9_b_1_C_5_D_0_-_3_J_3_I	_0_c_11_B_6_F_3_k_3_F_7_G	0.490
4g9i_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_7_i_0_-_41_f_20_b_7_b_7_g_20_C_9_i_5_B	0.433
4rl1_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_0_-_0_-_3_J_3_I	_1_k_7_d_0_-_11_o_0_-_6_C_3_h_4_l_5_E_3_f_1_d_5_G_2_F	0.379
4tkr_A	_0_i_0_-_3_d_0_-_2_f_4_o_9_b	_16_j_1_m_7_d_5_h_2_h_3_s_1_b	0.382
6d63_F	_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_n_3_f_7_B_4_B_1_i_6_I_3_H	0.455
5zcy_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C	_1_E_8_j_3_C_2_E_5_f_0_-_4_b_0_C	0.425
1iu4_A	_0_i_3_d_2_f_4_o_9_b_0_-_0_-_0_-_1_C_0_-_5_D_3_J_0_-_3_I	_7_k_3_c_9_c_0_-_13_b_0_I_9_e_13_A_21_F_6_b_1_D_13_E_0_c_8_I	0.352
4a34_A	_0_i_0_-_3_d_0_-_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J	_0_h_5_D_5_c_3_C_4_j_10_C_10_h_6_b_0_C_1_h_3_D_8_D	0.354
2cu2_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_0_-_0_-_0_-_0_-_0_-_1_C_5_D_3_J_3_I	_3_H_1_j_1_j_4_e_6_c_0_-_1_b_3_E_3_A_6_e_7_B_3_D_5_C_3_D_4_E_2_E	0.371
