3cwb_F	_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m	_0_k_1_c_3_b_5_h_2_n_5_b_3_b_5_m	0.657
3txv_A	_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_0_-_0_-_2_c_7_m_2_k_0_-_3_l_6_k_3_b_0_-_2_c_2_i	_0_C_4_e_2_c_4_E_13_k_4_b_0_G_2_b_14_c_5_C_13_m_4_D_0_-_7_m_2_c_2_D_5_A_4_A_8_f_5_B_7_h_2_E_1_o_8_f_5_c_6_i_4_c_4_h	0.358
4pzk_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_0_-_2_m	_0_E_4_k_0_-_0_-_2_D_8_e_3_d_2_C_0_-_2_f_4_D_5_A_12_D_8_e_1_b_0_B_11_l	0.499
2yjt_D	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_2_j_7_C_4_k_3_B_5_j_6_C_0_-_2_b_9_C_0_-_6_i_8_F_0_k	0.562
3sma_D	_0_i_4_E_0_-_0_-_5_k_8_C_0_-_8_j_0_-_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_0_-_1_c_2_m	_1_j_6_E_2_b_1_A_2_k_4_D_8_b_7_i_15_e_6_A_7_D_2_d_13_f_3_D_3_b_3_f_7_I_2_I_6_i_5_D_2_F_0_-_0_l	0.388
1s1m_B	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_6_k_0_-_0_-_3_b_0_-_2_c_0_-_0_-_2_i	_16_j_4_H_6_k_4_G_12_j_6_E_5_h_0_-_8_D_4_i_2_g_0_-_10_j_3_H_0_-_5_l_3_H_0_f_0_-_9_C_8_k_4_C_1_k_7_A_9_C_1_b_12_H_4_d_4_G_2_A_1_g	0.366
3p8z_C	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_0_-_0_-_3_l	_0_i_0_-_3_f_5_C_1_g_11_h_8_E_5_e_0_-_5_F_17_b_0_-_0_C_0_-_4_b_0_-_7_C_0_-_0_-_8_m_4_E_5_k_2_B_11_C_6_m	0.413
3kou_B	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_0_-_2_c	_0_i_0_-_14_j_0_-_9_i_9_D_2_j_4_b_1_e_29_l_4_F_17_b_0_-_5_G_12_k_2_H_0_e	0.533
1cit_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b	_0_B_0_-_2_B_1_k_0_-_22_i_4_b_0_-_3_b	0.375
2ccq_A	_6_e_0_-_1_d_5_F_2_b_2_c_0_-_3_C_4_j	_0_e_4_n_4_c_0_B_3_e_6_g_2_A_3_B_6_j	0.504
6s9v_B	_0_i_4_E_0_-_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_0_-_2_c_0_-_1_c_2_m_0_-_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_3_c_10_D_6_D_10_C_4_l_4_C_2_b_14_l_3_C_5_h_0_-_3_B_3_j_3_f_6_B_7_A_10_k_3_C_3_b_7_D_2_c_4_k_3_D_0_c_6_f_2_d_0_-_5_f_3_l_0_-_0_-_1_c	0.397
1kjt_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_2_k_3_G_0_-_12_D_4_j_8_B_11_g_0_-_6_E	0.510
2i5n_C	_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_A_0_-_12_A_1_j_0_-_16_c_11_k_6_b_12_n_1_c_6_d_0_-_32_j_37_b_0_-_4_m_3_b_3_b_0_-_4_b_2_l_5_d_3_b_11_d_5_c	0.375
5g2v_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_0_-_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_0_-_0_-_0_-_2_i	_7_g_2_B_0_-_2_A_5_i_0_-_3_c_15_f_3_E_12_D_2_b_0_-_7_C_2_C_4_k_7_E_11_b_23_d_0_-_19_d_5_e_4_n_0_-_5_u_6_F_7_b_8_c_3_C_8_B_3_A_0_j	0.442
4da0_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_0_-_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_0_-_3_l	_0_C_3_j_1_F_0_-_1_b_2_E_0_-_0_-_2_E_5_l_3_I_9_H_3_e_0_-_10_k_3_G_8_f_0_-_5_B_2_i_3_J_8_l	0.359
7m4v_Y	_8_C_8_j_9_D_6_e_1_d_5_F	_0_E_8_h_8_D_2_h_1_b_0_D	0.674
1e9r_B	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_0_-_2_i	_1_g_7_A_2_A_2_e_1_C_6_k_3_F_2_e_0_-_5_B_0_-_11_c_0_-_5_h_6_p_5_d_7_g_12_m_1_d_7_e_0_-_6_D_1_p_8_D_2_b_6_f_5_F_2_g	0.433
4nyn_A	_0_i_4_E_0_-_5_k_8_C_8_j	_1_m_4_E_2_f_8_l_3_E_6_j	0.461
1qxn_A	_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_0_-_2_c	_0_m_2_B_1_i_4_C_3_e_0_-_2_A_4_B_0_-_6_f_7_C_6_j_4_C_3_e	0.564
4nah_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j	_0_D_7_i_5_F_10_j_5_E_3_g_0_-_3_E_0_-_2_m_4_E_9_h_10_j	0.547
1ve0_A	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C	_0_F_0_-_5_C_1_f_6_F_4_E_7_h_7_c_4_i_2_F_2_A_0_-_6_E	0.457
1klx_A	_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_0_m_5_e_0_-_6_k_3_k_7_k_3_k_7_k_3_f	0.614
2ejn_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_j_2_j_0_-_3_m_2_l_2_c_6_j_3_i_4_l_0_-_2_b_0_-_3_h	0.473
5f3y_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_6_k	_7_h_0_-_6_k_0_-_8_h_3_F_4_E_5_j_0_-_7_F_0_-_0_-_2_C_7_l_8_F_0_-_12_m_0_-_0_-_7_l_6_j_2_c_4_l_6_l	0.376
1e6i_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_0_k_4_b_0_-_0_-_11_c_6_h_6_m_0_-_5_m_0_-_0_-_2_e	0.360
2hqb_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_5_h_6_E_6_j_5_B_6_j_2_E_10_F_1_j_0_-_8_D_1_b_0_-_2_B_8_l	0.531
1ysh_C	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_i_3_A_1_i_4_C_7_j_3_C_6_f_0_-_6_C	0.630
4hx6_H	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_g_7_D_0_-_12_C_0_-_4_F_0_-_5_d_2_E_0_-_5_e_15_B	0.407
1nnf_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c_0_-_1_c_0_-_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_D_3_k_4_D_2_k_4_C_2_h_8_d_15_K_5_b_4_d_1_b_3_B_4_k_1_k_0_B_3_h_5_D_0_j_1_b_2_C_6_b_1_H_5_j_0_-_1_i_3_A_13_c_9_j	0.456
1w26_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_0_-_2_b_2_c_3_C_0_-_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_2_h_4_H_0_-_8_H_0_-_15_B_4_d_2_e_2_A_12_B_1_C_13_B_8_c_8_F_13_F_2_A_2_A_5_c_9_i_2_o_6_l_14_b_1_n_6_h_7_i_7_k	0.364
2pbr_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k	_0_D_6_k_4_D_5_j_0_-_4_l_5_d_3_D_0_-_2_c_0_-_11_j_6_E_2_h_0_-_7_m_3_D_0_-_0_-_4_k	0.431
4idh_A	_0_i_4_E_5_k_8_C_0_-_8_j_0_-_9_D_0_-_0_-_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_0_-_4_j_0_-_2_c_1_c_0_-_0_-_0_-_2_m_0_-_2_c_0_-_0_-_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_0_e_5_D_6_k_5_E_5_b_2_j_2_b_0_C_2_C_5_E_4_e_5_C_2_b_2_i_6_E_7_b_0_-_10_D_2_b_5_k_1_g_14_f_2_d_7_E_8_F_2_G_4_k_4_D_3_c_1_f_6_D_18_c_3_o_0_-_0_-_0_-_5_b_2_A_1_c_1_j	0.357
3hds_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_f_2_G_6_l_7_E_0_-_19_F_2_h_1_k_2_E	0.498
3cmm_C	_0_i_0_-_4_E_0_-_5_k_0_-_8_C_8_j_9_D_0_-_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_0_-_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_6_k_3_b_2_c_0_-_2_i	_7_h_6_n_8_D_1_b_21_f_1_g_2_D_3_k_8_D_6_b_8_b_4_j_1_b_3_C_5_b_5_e_2_C_4_k_4_F_2_F_7_b_10_d_5_k_5_i_3_g_3_k_5_k_5_g_30_m_13_h_27_e_3_b_19_l_6_g	0.435
1n5b_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_i_11_E_0_-_2_F_0_-_4_E_9_e_0_-_11_D_0_-_0_-_4_H_7_l	0.388
1xmk_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d	_0_g_0_-_1_l_3_C_0_-_5_C_0_-_1_c	0.412
5o60_N	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_D_3_C_0_l_4_C_0_-_6_C_0_-_0_-_12_H_0_-_0_-_4_E_3_j	0.366
4q2j_A	_4_E_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_0_H_0_-_4_G_4_j_5_c_2_E_5_A_0_c_7_d_6_E_11_b_0_-_0_-_2_j_4_f_4_g_9_k	0.512
2g6b_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_6_i_14_H_0_-_2_H_6_b_2_F_3_d_1_j_5_F_11_j_0_-_3_B_8_k	0.432
1l5o_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_0_-_6_k_3_b_2_c_0_-_2_i	_6_j_0_-_9_j_0_-_2_b_0_-_7_H_0_-_2_d_0_-_8_h_5_h_2_G_9_A_17_n_3_H_4_j_3_c_8_m_6_g_2_l_4_A_3_k_0_-_1_e_0_A_9_f	0.383
2c35_A	_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_b_14_l_9_j_6_j_5_i_4_f_1_b_5_k	0.602
2zjr_L	_0_i_4_E_0_-_0_-_5_k_8_C_8_j	_0_i_8_B_12_B_4_A_17_k_7_A_9_k	0.592
5tqi_A	_0_i_4_E_0_-_0_-_5_k_0_-_8_C_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c	_6_i_3_I_3_b_4_B_2_k_3_b_2_C_5_m_4_C_15_j_3_A_3_g_6_j_5_F_0_-_8_G_3_F_10_k_0_-_0_-_4_o_11_d	0.360
6eu6_A	_1_d_5_F_0_-_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_0_-_3_l_6_k_3_b_2_c	_5_d_2_A_3_A_3_b_2_b_5_o_6_i_5_h_10_c_14_k_20_o_7_r_4_l_8_p_16_j_2_b_7_l_5_k_0_-_6_e	0.397
2c7f_A	_4_E_5_k_8_C_0_-_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b_0_-_0_-_2_c_3_C_4_j_2_c_1_c_0_-_2_m_0_-_2_c_0_-_2_c_7_m_0_-_2_k_3_l_0_-_6_k	_0_E_0_-_4_C_2_c_0_B_24_A_0_i_3_C_5_b_2_c_0_-_3_b_3_B_4_B_6_h_3_D_7_j_5_g_0_-_10_C_14_m_4_C_12_i_5_G_6_d_2_o_6_H_4_e_19_l_4_F_23_i	0.350
1ou0_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_10_i_2_e_0_B_8_d_2_C_10_e_1_C_4_c_8_g_6_D_0_-_3_e_12_B_5_j_4_C_0_-_6_l	0.469
3rea_C	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c	_17_k_0_-_9_l_24_D_0_-_6_D_0_-_1_c_0_-_3_b_3_c	0.447
1zak_A	_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_0_-_1_c_2_m	_0_D_5_j_2_A_2_j_0_-_2_j_6_k_1_d_2_C_0_-_5_g_7_E_2_g_0_-_2_B_6_B_9_d_10_m	0.457
6sw9_G	_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C	_0_E_0_-_1_b_2_E_3_b_10_A_0_c_16_G	0.493
1vlc_A	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_0_-_0_-_3_C_0_-_0_-_4_j_0_-_2_c_1_c_0_-_2_m_2_c_2_c_0_-_0_-_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_H_2_n_2_E_4_f_5_h_2_E_3_b_15_d_4_F_2_e_4_c_4_F_3_b_1_E_4_C_4_l_4_E_5_k_6_E_0_i_1_b_2_C_1_j_6_b_0_-_1_D_3_D_16_l_0_-_2_l_0_-_5_b_3_b_3_l	0.363
1ydy_A	_0_i_4_E_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c_0_-_2_i	_2_e_6_C_2_C_17_l_4_E_2_e_4_j_9_D_2_e_5_c_4_E_2_b_0_-_3_B_5_B_0_-_3_c_0_-_3_d_5_D_0_b_0_-_15_f_0_-_3_A_0_-_16_e_9_C_2_h	0.414
2wkx_A	_4_E_5_k_8_C_8_j_9_D_0_-_0_-_0_-_0_-_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_0_-_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_13_E_4_g_8_B_0_-_5_A_2_A_2_A_14_A_2_A_0_-_1_c_0_E_0_-_0_-_4_C_2_C_4_m_3_b_0_B_0_c_0_-_13_e_8_g_0_-_10_j_9_l_10_k	0.383
7qiy_F	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_0_k_2_D_14_k_3_E_0_-_0_-_2_E_0_-_0_-_0_-_1_j_8_c	0.455
4k2m_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k_0_-_3_l	_6_k_3_D_2_j_7_C_5_i_2_C_11_b_1_b_4_C_4_b_4_j_2_D_15_D_13_D_2_j_23_t_1_d_17_C_5_j_11_b_3_e_0_-_6_h_0_C_7_n	0.441
1b0u_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_0_-_6_k_3_b_0_-_0_-_2_c_2_i	_6_g_7_E_0_-_2_A_0_-_2_B_0_-_0_-_5_B_0_-_2_i_0_C_11_j_0_-_0_-_5_k_4_c_3_b_0_-_2_k_4_D_7_l_4_C_3_f_0_-_2_E_2_E_1_e_4_j	0.366
2guy_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_0_-_2_k_0_-_3_l_6_k_3_b_0_-_2_c_2_i	_15_F_6_k_3_E_0_-_6_B_1_b_2_b_0_-_6_b_12_e_1_B_3_B_1_A_0_-_0_-_4_m_3_C_2_b_0_-_2_j_2_C_6_h_3_B_1_j_6_k_3_b_1_A_9_b_4_k	0.416
1e6b_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_0_C_4_j_5_C_6_b_1_e_7_C_0_-_0_-_2_C_1_j_0_-_0_-_10_j_0_-_0_-_0_-_13_k_14_m_7_i_3_e_1_b	0.422
6v6a_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_0_-_0_-_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_5_F_6_m_8_E_0_-_6_E_3_A_0_f_4_n_2_A_5_b_0_B_5_B_6_A_4_b_2_c_7_m_9_j_4_e_5_f_7_c_5_i_4_b_3_c_3_b_5_b_11_l	0.390
5cd6_C	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_2_c_7_m_2_k_3_l_0_-_6_k_3_b	_6_E_0_-_4_E_0_-_7_E_0_-_4_d_9_F_9_A_4_J_5_b_10_b_0_-_8_l_22_i_4_l_3_g_5_j_4_h_6_c_1_j_2_k_7_k_3_h_11_j_9_b	0.460
3c70_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_0_-_3_C_4_j_0_-_2_c_1_c_2_m	_1_h_6_E_2_l_0_F_12_h_7_F_0_-_0_-_2_F_2_b_10_i_7_c_10_b_2_D_8_i_4_C_7_c_0_-_1_k	0.535
1j8m_F	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_8_j_4_D_6_k_3_A_7_k_4_D_9_l_3_F_0_l_4_E_1_b_3_h_5_D_7_B_2_e	0.464
1vm6_A	_0_i_4_E_0_-_0_-_5_k_8_C_8_j_9_D_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_4_j_0_-_2_c	_4_j_3_F_2_C_5_C_3_k_2_C_6_i_4_C_5_l_4_G_9_h_6_D_6_F_0_-_0_-_4_F_4_k_5_B_1_d	0.438
4fbj_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_0_-_7_m	_3_g_0_-_11_k_7_f_4_i_5_G_0_-_0_-_4_F_0_-_0_-_7_D_13_i_1_B_0_g_1_d_2_j_5_b_2_b_6_G_1_l	0.365
6u3v_A	_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_0_g_3_g_0_-_8_l_3_f_0_-_6_k_0_-_0_-_1_m_6_k_3_g_5_k_3_k_4_k_3_k_6_k_3_k_4_k_4_j	0.355
1r1u_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_k_0_-_3_j_0_-_4_g_3_k_3_E_0_-_0_-_2_E_2_k	0.390
3he0_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_l_7_e_3_d_5_n_8_e_2_d_4_e_5_j_0_-_2_j_0_-_8_f_1_j	0.539
6ci9_D	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b	_0_C_5_j_3_E_2_i_0_-_7_D_0_-_5_l_4_C_0_-_9_b_2_g_5_l_3_D_13_p_2_F_5_c_0_-_3_g_0_-_10_j_1_b	0.398
1rlu_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_0_-_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_0_-_6_k_3_b_2_c_0_-_2_i	_0_E_0_k_0_-_0_-_6_E_0_-_2_d_5_C_2_c_8_i_1_g_4_F_4_l_3_G_2_b_0_-_1_m_2_E_0_c_0_-_9_p_8_g_0_-_3_J_3_j_1_b_3_b_2_G_5_k	0.407
2ao9_A	_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_g_4_l_7_g_0_-_0_-_3_i_1_l_2_k_0_-_0_-_5_i	0.412
2pld_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_0_-_6_e	_6_g_5_E_5_G_2_B_0_-_2_C_4_A_4_A_2_g	0.378
4g6u_B	_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_5_F_0_-_0_-_0_-_2_b_2_c_3_C_4_j	_4_G_3_A_6_B_5_k_0_-_7_g_5_i_8_d_3_F_2_E_1_C_2_B_5_b_0_-_1_C_4_j	0.445
4il1_D	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_0_-_7_m_0_-_0_-_2_k_3_l_6_k_0_-_3_b_2_c_2_i	_0_k_6_A_0_-_0_-_0_-_1_d_0_-_2_b_5_g_7_A_0_h_7_j_0_-_9_j_5_l_9_f_19_c_8_h_6_m_3_C_3_C_6_j_7_B_10_k_4_B_7_e_2_f_3_k	0.388
1ls6_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_B_0_-_2_B_1_i_9_D_5_j_4_c_4_c_13_e_6_C_0_-_8_d_3_E_2_k_9_i_0_-_7_j_5_D_0_e_0_-_0_-_1_j_0_-_5_i_2_e_28_c_3_k	0.436
1t1g_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c_0_-_1_c_0_-_0_-_0_-_0_-_2_m_2_c_2_c	_6_i_7_D_15_k_4_E_4_k_7_C_3_A_0_b_2_m_2_D_4_b_10_A_7_I_4_E_0_-_3_c_5_A_7_b_17_A_2_C_4_F_2_D_2_n_7_c_4_b	0.363
3g8b_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_0_-_2_m_2_c	_6_f_8_D_7_f_4_E_2_k_4_D_0_-_2_c_9_F_0_-_0_-_0_-_4_j_0_J_4_c_2_g_1_J_4_I_13_c	0.412
1sk4_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c	_0_c_13_G_8_k_14_B_5_B_0_-_17_E_10_j_0_-_7_H_0_b_9_e	0.500
6yt9_i	_0_i_4_E_5_k_0_-_8_C_0_-_8_j_0_-_9_D_0_-_6_e_1_d_5_F	_0_k_4_D_2_j_3_G_4_F_1_A_2_A_4_B_22_F_2_B_1_e_0_-_5_F	0.385
1p65_A	_1_d_0_-_5_F_2_b_2_c_3_C_4_j	_0_c_2_m_3_C_0_-_0_-_5_C_6_j	0.503
1ylj_A	_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_0_-_7_m_2_k_3_l_6_k_3_b_2_c_0_-_0_-_0_-_2_i	_0_k_2_G_0_-_4_D_5_A_1_l_5_b_1_C_1_b_7_c_2_C_0_j_2_i_3_i_0_-_13_b_0_-_9_A_0_-_1_j_0_-_6_j_0_-_8_c_5_H_3_H_6_G_9_j	0.413
2ap6_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_5_g_1_F_0_-_7_F_3_i_0_-_3_h_0_-_4_F	0.419
2qvg_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_C_3_k_5_C_2_d_14_D_6_g_3_b_3_E_0_-_4_f_6_C_4_k	0.643
5eui_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_0_i_5_k_1_e_10_n_3_c_1_c_11_m_0_-_6_m	0.664
5ujz_B	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d	_2_E_1_n_18_z_4_C_0_-_3_C_5_g_9_f	0.451
3g5u_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_0_-_6_k_0_-_3_b_0_-_0_-_2_c_2_i	_8_k_21_G_4_b_8_B_0_-_4_D_6_g_0_-_7_D_0_-_10_c_4_C_0_-_9_d_0_-_10_j_2_c_5_b_0_-_0_-_11_l_4_C_7_k_5_C_5_b_3_E_1_F_1_e_3_i	0.456
1reg_X	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_0_-_2_b_2_c_3_C	_5_i_1_D_0_-_4_C_0_-_1_E_2_E_0_f_8_l_4_A_15_A_5_b_0_-_1_C	0.432
7c2a_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_0_-_2_c_3_C_4_j_2_c_1_c_2_m	_0_F_1_c_9_j_3_F_5_k_7_D_0_-_2_d_4_m_4_C_5_b_1_g_1_g_3_B_0_-_4_b_3_b_9_m	0.558
1ebo_C	_2_m_0_-_2_c_2_c_7_m_2_k	_0_q_2_y_2_c_2_c_0_-_6_j	0.418
4gco_A	_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_l_3_k_4_k_3_k_4_k_3_k_4_i	0.630
