6ei0_N	_1_j_5_b_12_m_15_q_12_j	_0_q_4_b_1_o_6_q_4_p	0.500
6hgc_C	_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n	_0_c_0_-_0_-_2_c_2_d_0_-_3_g_4_f_0_-_14_l_4_l	0.435
3q4g_A	_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_0_d_8_n_3_D_4_n_0_-_0_-_6_E_8_j_0_-_3_C_0_-_3_m_9_j_0_-_0_-_2_h_1_C_4_e_20_i_0_-_0_-_0_-_4_c_11_h_5_k_1_c	0.361
4tkr_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c	_0_n_16_j_0_-_1_m_0_-_7_d_5_h_2_h_3_s_0_-_1_b_0_-_6_s_1_b	0.362
1iu4_A	_1_C_0_-_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_0_-_9_m_21_B_4_D_0_b_0_-_0_-_11_e	_0_D_0_j_12_f_5_f_8_A_4_i_0_-_8_j_0_-_2_m_7_k_0_-_3_c_9_c_13_b_0_I_9_e_13_A_21_F_6_b_1_D_13_E_0_c	0.443
5uiy_A	_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n	_0_j_0_-_1_e_11_c_0_-_0_-_6_h_0_-_6_m_5_n	0.382
1qhx_A	_10_j_8_B_0_m_8_k_2_e_0_-_0_-_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f	_6_j_4_D_0_-_0_f_2_c_5_B_5_B_1_n_3_E_5_j_4_F_0_-_0_-_2_i_0_-_7_d_2_b_6_C_5_h	0.390
2f46_A	_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_C_2_C_0_-_4_i_3_C_12_j_0_-_3_C_0_-_9_j_5_C_4_k_3_i_5_h	0.470
5bn4_A	_0_k_0_-_10_j_0_-_8_B_0_m_0_-_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m	_6_j_4_F_3_k_9_c_0_E_6_m_4_F_1_k_6_b_4_h_0_-_3_C_5_I_2_b_0_-_0_-_4_e_0_-_5_A_4_d_0_-_12_A_2_j_3_p_8_k_0_-_18_n_0_-_0_-_7_e_3_h_2_k	0.352
1svy_A	_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e	_5_D_3_b_5_D_3_E_5_m_0_-_5_C_0_-_8_e	0.401
4xel_A	_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_2_A_2_E_13_b_0_-_2_j_10_E_1_m	0.418
2c8a_A	_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b	_0_k_0_-_4_p_9_k_9_F_1_c_1_b_12_j_3_C_3_C_0_-_4_c_3_F_6_A_1_b	0.442
2j07_A	_0_k_0_-_10_j_8_B_0_m_8_k_0_-_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m	_3_n_4_D_2_j_4_D_0_-_4_k_4_C_16_d_38_k_1_f_0_-_0_-_12_d_5_j_2_o_1_c_5_b_0_-_0_-_8_g_0_-_6_k_4_h_9_j_0_-_0_-_5_j_0_-_4_b_8_g_4_e_15_l	0.398
1z6o_M	_0_b_0_-_11_e_1_j_5_b_12_m_15_q_12_j	_8_b_13_r_6_e_0_-_0_-_6_m_0_-_6_j	0.372
2i5h_A	_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_5_E_10_B_8_F_2_b_2_l_0_-_2_g_9_c_0_-_5_k_5_f_0_-_6_k	0.408
3edg_A	_1_D_2_c_1_g_0_-_9_m_21_B_0_-_4_D_0_-_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_A_2_b_2_b_0_E_5_m_3_C_7_D_14_D_6_j_4_b_3_b_1_B_1_b_5_c_0_-_4_b_29_B_14_i	0.410
5a2d_C	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_0_-_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_0_-_2_c_0_-_1_g_9_m_21_B_0_-_4_D_0_b_0_-_11_e	_6_E_3_l_9_m_1_c_2_e_3_q_5_B_6_H_2_D_5_l_2_D_2_b_1_c_2_e_7_B_9_d_0_-_5_D_2_k_3_C_4_D_5_m_4_F_3_j_0_-_0_-_20_l_3_C_16_C_6_c_6_F_4_f_0_-_6_D_3_i_4_C_15_b_0_A_8_c	0.421
4ywk_A	_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b	_0_k_8_f_7_D_0_f_1_h_1_n_8_D_5_A_0_b_2_b_4_K_2_F_2_b	0.445
1stz_A	_0_k_0_-_10_j_0_-_8_B_0_m_8_k_2_e_2_h_0_-_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_0_-_9_m	_0_m_5_f_6_k_3_A_7_B_0_-_1_k_8_c_9_l_2_D_3_b_4_E_4_G_2_H_0_-_6_j_0_-_4_e_3_c_0_-_0_-_2_i_6_C_1_e_0_-_5_i_0_-_0_-_3_f_5_C_0_c_2_b_2_I_2_J_4_o	0.354
2g45_A	_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_0_C_5_B_0_-_12_h_3_C_10_B_4_B_0_-_4_e	0.401
4o9l_A	_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_j_1_c_4_f_5_r_4_j_0_-_3_k	0.542
1x24_A	_21_B_4_D_0_b_11_e_1_j_0_-_5_b_0_-_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_D_2_E_0_-_0_-_7_i_2_E_8_c_4_C_11_l_0_-_0_-_4_D_7_j_4_j_5_h	0.438
1x3a_A	_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_0_j_3_c_0_-_12_k_0_-_1_h_7_o	0.455
1fx7_A	_0_k_0_-_10_j_8_B_0_-_0_m_8_k_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_0_-_1_C_0_-_0_f_5_g_10_C	_0_l_5_g_3_k_3_B_5_B_1_n_8_j_0_-_5_i_15_c_13_A_0_b_6_G_1_c_0_-_0_-_2_h_0_-_7_E_5_C_6_B_1_c_0_-_2_E	0.381
1uqt_A	_14_i_0_-_8_F_2_I_0_-_9_c_7_l_5_o_0_-_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_0_-_12_m_15_q_12_j_2_B_1_i_0_-_5_i_0_-_2_f	_8_k_1_I_7_D_2_G_1_b_13_c_3_b_4_o_5_D_1_b_2_f_6_C_7_c_5_g_4_C_2_k_2_C_0_-_0_-_0_-_0_-_3_C_2_F_6_h_4_h_0_-_0_-_4_E_4_b_0_-_1_k_1_b_3_E_8_o_7_C_5_i_2_C_8_h_7_D_3_c_5_B_4_j	0.405
1x0f_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_0_D_0_-_7_j_0_-_2_D_13_D_0_-_3_e	0.394
1wel_A	_2_h_14_i_8_F_2_I_9_c_0_-_7_l	_7_f_0_-_11_C_5_H_3_f_11_E_1_l	0.536
5h5x_C	_2_c_1_C_0_f_5_g_10_C_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_c_9_D_4_j_0_-_3_E_2_k_4_D_5_l_4_C_15_g_0_-_0_-_5_k_5_E_2_b_0_-_7_p_0_-_1_G_5_c_3_g_10_j_1_b_0_-_0_-_0_-_6_C_3_c	0.359
3ejw_A	_8_B_0_m_0_-_8_k_2_e_2_h_14_i_8_F_2_I_9_c_0_-_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b	_0_D_6_m_2_C_7_k_4_C_8_h_0_-_3_D_0_-_5_b_2_C_3_l_4_F_5_m_0_-_0_-_3_G_4_k_0_-_5_C_4_j_6_D_2_i_5_B_2_m_0_-_7_C_3_E_1_c_0_-_0_-_9_C_4_B_4_b	0.359
2oa5_B	_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_c_2_n_0_-_12_m_0_-_2_i_0_-_5_h	0.398
4rrf_C	_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D	_1_n_0_-_3_E_1_b_0_-_6_m_3_C_4_H_6_D	0.467
1y8g_B	_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_0_-_0_-_5_i_2_f	_2_j_14_B_3_C_0_-_8_g_3_n_12_B_4_B_8_b_2_d_0_-_0_-_6_m_0_-_9_i_0_-_9_i_4_b_32_d_6_h_8_c	0.470
2zon_G	_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j	_0_e_5_c_0_-_3_b_6_i_0_-_1_i_6_c_4_k	0.398
2mn2_A	_2_n_2_j_5_o_2_o_7_k_1_D_2_c	_0_p_0_-_12_p_4_m_6_m_0_-_4_c	0.424
2k4v_A	_8_F_2_I_0_-_9_c_7_l_5_o_3_c	_3_J_2_I_3_k_4_b_9_k_0_-_8_d	0.455
5eui_B	_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c	_0_j_0_-_4_l_1_i_5_d_2_m_5_c_0_-_0_-_1_d_10_o_2_m_1_c	0.431
2z3u_A	_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_0_-_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B	_0_d_2_g_0_-_4_C_8_C_2_h_0_-_3_A_0_-_2_d_0_-_14_f_3_b_0_-_4_k_1_o_15_j_3_l_11_o_9_i_6_k_0_-_2_l_1_h_1_k_5_E_3_B_2_B_4_D_0_-_0_c_0_-_27_b_4_m_0_-_1_c_3_D	0.390
1qzp_A	_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_b_1_b_0_-_2_f_4_e_0_-_2_j	0.463
1kkx_A	_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g	_0_l_0_-_19_e_5_c_0_-_3_i_4_d_6_f	0.485
4hoi_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_0_-_2_I	_6_D_0_-_1_f_3_c_7_b_6_j_4_G_5_J_5_I	0.482
5bnc_B	_10_j_0_-_0_-_8_B_0_m_8_k_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_0_-_1_C_0_f_0_-_5_g_10_C_0_-_0_-_2_k	_0_i_3_F_5_F_1_B_0_-_2_F_0_-_3_g_0_-_2_F_7_b_1_I_0_-_3_k_0_-_1_d_0_-_6_L_4_D_0_e_6_k_1_i_9_E_3_G_2_G_9_k	0.366
1mc2_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j_5_b	_0_j_0_-_3_d_0_-_17_k_14_C_2_C_4_n_1_b_2_b_0_-_4_b	0.476
2q8t_D	_2_c_0_-_1_C_0_f_5_g_10_C_2_k	_0_b_0_E_9_D_0_-_0_-_4_C_4_i	0.385
2k89_A	_21_B_0_-_4_D_0_b_11_e_1_j	_2_B_1_D_8_D_0_-_5_j_5_k	0.529
1tjy_A	_8_B_0_m_0_-_8_k_2_e_2_h_14_i_8_F_2_I_9_c_0_-_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b	_0_D_6_m_2_C_7_k_4_C_8_h_0_-_3_D_0_-_5_b_2_C_3_l_4_F_5_m_0_-_0_-_3_G_4_k_0_-_5_C_4_j_6_D_2_i_4_C_0_-_2_l_9_C_3_E_1_c_0_-_0_-_9_C_4_C_3_b	0.366
2j5b_A	_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_0_-_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_0_j_4_A_0_-_0_-_0_-_0_-_2_i_3_F_7_l_2_F_1_e_2_c_1_m_0_-_4_b_0_-_0_D_0_f_0_-_0_-_0_-_1_n_4_j_7_A_0_-_3_l_6_D_17_b_7_i_10_c_7_b_2_B_2_B_0_-_2_g_0_-_0_-_4_o_0_-_3_j	0.353
1qe0_A	_10_j_0_-_8_B_0_m_8_k_2_e_0_-_2_h_0_-_14_i_0_-_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_0_-_0_-_1_C_0_-_0_-_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_0_o_2_A_5_B_0_-_0_-_0_c_4_B_1_c_2_B_4_i_2_b_5_I_4_I_0_-_4_m_5_F_3_o_2_d_5_c_5_b_5_l_4_A_10_J_7_J_1_c_6_G_0_i_12_D_1_l_5_B_6_i_0_-_0_-_0_-_4_D_1_e_0_-_0_-_2_D_5_C_0_-_3_g	0.363
3w4o_A	_7_k_0_-_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_0_-_2_B_1_i_5_i_2_f	_0_k_4_H_5_C_5_A_0_-_1_l_3_d_1_A_0_-_3_b_7_c_4_A_0_j_0_-_2_j_0_-_2_i_13_b_9_A_1_g_10_j_8_c	0.403
5by8_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_0_-_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_-_0_f	_0_E_0_-_4_k_4_E_11_h_0_-_4_E_7_G_2_I_25_D_1_c_4_k_0_-_9_b_0_-_2_F_9_J_7_N_3_f	0.412
6abw_A	_1_C_0_-_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_4_C_2_A_0_f_2_i_0_-_5_k_0_-_4_h_6_l_8_p_0_-_0_-_0_-_12_i_5_k_0_-_0_-_7_i_5_j_7_j_2_f_24_l_2_p_6_j	0.389
1wf2_A	_1_D_2_c_0_-_0_-_1_g_9_m_21_B_0_-_4_D	_0_E_6_e_7_F_1_F_2_h_0_-_5_A_2_A_1_C	0.393
1geh_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_0_-_15_q_0_-_12_j_2_B_1_i_5_i_0_-_2_f	_5_j_0_-_14_f_0_-_2_C_8_G_0_b_0_-_0_-_5_g_2_c_3_B_1_E_2_c_8_h_6_C_9_k_4_B_12_m_5_B_0_-_0_-_6_k_3_D_0_c_0_-_1_k_0_-_3_D_3_b_7_A_1_j_3_B_6_k_2_A_11_A_7_D_7_f_5_B_2_c_5_l_5_d_3_g	0.380
3l7i_B	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_0_-_2_k_2_n_2_j_5_o_0_-_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_0_-_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j	_0_l_0_-_5_h_2_b_4_E_0_-_0_b_4_k_4_E_0_-_2_b_7_C_0_-_3_h_2_C_14_C_10_b_10_j_4_C_2_i_4_b_0_B_3_g_4_i_7_D_10_b_9_g_3_D_3_c_11_B_6_e_3_C_0_-_4_g_3_B_30_h_0_-_1_n_0_-_7_l	0.370
1l3a_A	_2_e_0_-_2_h_14_i_0_-_8_F_2_I_9_c_0_-_7_l_5_o_3_c	_7_b_1_D_1_g_0_-_7_D_12_G_5_I_0_b_1_I_0_m_0_-_2_d	0.372
1vmf_A	_10_j_8_B_0_-_0_m_8_k_2_e_2_h_14_i_8_F_0_-_0_-_2_I	_1_j_4_F_4_F_0_-_3_k_0_-_0_-_14_i_2_F_2_A_5_F_7_I	0.455
1uf9_A	_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_-_0_f_5_g_10_C_2_k	_5_i_4_B_0_-_0_j_0_-_1_f_1_b_0_A_2_A_1_g_3_m_0_-_2_c_4_D_9_b_2_D_3_f_8_f_4_f_2_B_4_k	0.482
2ca6_A	_3_c_2_c_1_C_0_-_0_f_5_g_10_C_0_-_2_k_2_n_2_j_0_-_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_5_c_3_d_5_B_4_A_1_h_0_-_9_B_9_b_1_j_7_B_10_i_5_B_6_o_6_B_7_k_5_B_0_-_7_h_2_b_5_B_6_k_5_B_0_-_0_-_7_j_0_-_8_B_0_-_7_k_5_B_10_k	0.388
1ys9_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_0_-_10_C_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_0_-_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b	_1_j_4_D_0_-_0_-_6_j_0_-_6_b_0_-_0_B_0_j_4_D_2_h_3_A_6_C_7_j_3_C_5_B_4_B_1_j_4_A_0_-_5_j_3_b_0_D_7_c_4_D_6_e_0_-_6_B_0_-_2_b	0.351
4m91_A	_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j	_0_n_3_A_0_-_0_-_2_c_11_F_3_b_0_-_2_n_7_F_4_e_7_D_7_b_3_c_3_j	0.429
1bwv_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_0_-_5_o_2_o_7_k_1_D_2_c_0_-_1_g_0_-_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_5_j_9_d_2_c_0_-_2_G_2_J_1_b_0_-_0_-_5_g_3_b_3_I_2_c_8_h_6_B_10_k_17_n_7_A_5_k_4_D_0_b_0_-_1_k_3_D_4_c_5_A_1_j_3_B_11_j_2_A_11_A_7_D_0_-_7_g_4_B_2_c_5_n_0_-_4_l_0_-_1_i	0.409
3e4e_A	_2_e_2_h_14_i_8_F_2_I_9_c_0_-_0_-_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_0_-_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B	_0_b_0_-_5_j_2_E_2_E_2_d_11_A_3_e_12_l_3_m_8_b_0_-_0_-_3_j_8_l_3_g_0_-_1_c_5_p_10_j_0_-_10_t_1_k_0_-_8_e_0_-_1_k_8_A_4_B_2_B_4_C_0_-_2_c_0_-_13_c_25_m_0_D_3_b_6_A	0.354
6xgy_A	_1_C_0_f_0_-_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_-_0_b_11_e_1_j_5_b	_3_D_6_h_6_E_2_A_5_i_0_C_11_j_0_-_4_k_3_b_0_-_9_j_6_D_0_-_0_-_7_m_2_D_3_d_4_E_2_E_0_-_1_d_4_g_15_d	0.421
1yc6_1	_1_D_2_c_0_-_0_-_1_g_9_m_21_B_4_D_0_b_11_e	_8_D_4_b_8_J_7_F_4_f_0_-_4_A_6_C_0_-_10_c	0.386
2ex3_J	_21_B_4_D_0_-_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_B_5_B_0_t_11_b_0_-_3_k_0_-_5_o_0_-_3_j_0_-_3_j_7_n	0.416
5f1p_A	_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j_5_b_12_m_15_q_0_-_12_j_0_-_2_B	_0_D_0_-_0_-_4_j_3_E_0_-_2_j_6_D_5_d_2_f_0_-_0_-_4_D_2_d_4_b_2_e_9_j_0_-_3_E_10_p_1_G_23_j_1_b_6_C	0.404
5ndy_C	_10_j_8_B_0_-_0_m_0_-_8_k_0_-_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k	_0_h_4_E_1_b_2_k_4_C_5_k_4_C_3_b_0_-_0_-_6_F_11_j_3_I_3_e_10_k_0_-_0_-_0_-_3_D_10_i_3_D_5_i_3_C_5_k	0.464
2jr7_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_5_D_0_e_0_-_0_-_3_B_6_D_0_-_2_c	0.381
2hku_A	_0_f_5_g_10_C_2_k_2_n_2_j_5_o_0_-_2_o_7_k_1_D_2_c	_5_g_3_g_2_q_4_k_0_-_3_h_6_m_5_a_10_o_8_j_0_-_3_e	0.520
1hml_A	_8_k_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c	_0_f_1_b_2_b_2_j_6_B_4_B_4_A_20_c_5_k_2_b_2_d_5_b	0.421
1y75_B	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e	_0_j_0_-_6_c_0_-_15_l_14_C_2_C_5_n_4_b_4_c	0.591
7a23_B	_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_1_j	_0_i_5_l_6_j_0_-_0_-_3_i_13_C_2_c_0_-_3_j_14_C_10_B_14_B_0_-_0_-_3_j	0.380
4urs_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_0_-_0_-_12_m	_0_m_3_G_0_-_2_g_1_m_6_C_4_F_0_-_0_-_3_l_2_B_2_B_3_G_6_m	0.401
3jze_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_0_-_1_i_5_i_2_f	_3_C_4_j_0_-_4_C_10_k_8_D_8_h_3_B_0_-_18_k_3_B_0_-_10_g_5_e_5_B_5_g_5_D_1_d_2_d_0_-_5_b_0_-_0_-_8_j_5_B_8_c_14_j_3_h_1_e	0.409
1s8f_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_6_i_12_I_2_I_0_-_3_i_5_F_3_d_1_j_7_E_0_-_10_i_5_B_8_k	0.444
1aw9_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_5_j_4_C_13_b_0_-_0_-_8_C_2_C_0_-_1_j_14_i_5_g_5_b_0_-_6_p_10_c_0_-_2_g_5_c_2_j_1_h	0.418
1j6w_A	_2_c_1_C_0_f_5_g_10_C_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c	_0_c_8_E_0_-_0_-_8_F_10_k_9_B_9_A_2_A_4_i_9_b_0_-_16_k_2_B_1_c	0.372
3o7x_A	_2_o_7_k_1_D_2_c_0_-_0_-_0_-_0_-_1_g_9_m_21_B_4_D_0_b	_0_p_0_-_3_C_0_b_3_A_2_B_7_B_5_B_0_g_0_-_11_C_16_B_1_b	0.378
2hzt_A	_8_k_2_e_2_h_14_i_8_F_2_I_0_-_9_c	_0_h_9_b_4_e_8_h_3_E_5_E_3_g_3_e	0.528
1whz_A	_12_j_0_-_2_B_0_-_1_i_5_i_2_f	_0_i_3_A_5_D_5_D_7_i_0_-_4_f	0.533
1jdl_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l	_0_i_36_g_6_f_3_j_0_-_0_-_3_c_12_k	0.490
2dax_A	_0_k_0_-_10_j_0_-_0_-_8_B_0_m_8_k	_0_l_6_B_2_k_9_I_5_I_11_B_5_m_8_k	0.478
1bgv_A	_0_m_8_k_2_e_2_h_14_i_0_-_0_-_8_F_0_-_2_I_9_c_7_l_0_-_5_o_3_c_2_c_0_-_1_C_0_f_5_g_0_-_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_0_k_4_j_2_d_2_d_2_d_4_I_5_J_5_F_5_m_6_E_0_-_8_m_5_C_6_l_4_b_5_b_8_l_8_C_4_k_0_-_2_F_2_C_7_k_0_-_5_f_0_-_0_-_0_-_2_C_3_b_4_B_9_h_0_-_4_B_8_h_4_B_0_-_1_c_0_-_0_-_2_l_5_q_6_n	0.367
5vbu_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_0_-_9_c_0_-_7_l_0_-_5_o_3_c_0_-_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B	_0_D_0_-_0_-_1_b_3_f_1_c_2_E_2_E_2_d_16_d_14_j_9_m_5_A_1_m_1_b_5_l_1_g_1_d_5_q_8_f_0_-_0_-_7_k_2_l_1_k_5_e_0_-_1_k_9_A_4_B_0_-_0_-_0_-_2_B_4_C_1_c_14_c_0_-_14_b_4_m_1_C_0_-_24_C	0.369
1n88_A	_8_B_0_m_8_k_2_e_2_h_0_-_14_i_8_F_2_I_9_c	_0_C_0_-_0_-_0_-_3_f_3_E_5_j_4_H_16_G_6_c	0.427
5agd_B	_5_g_0_-_10_C_2_k_2_n_2_j_5_o_2_o_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_0_k_0_A_4_B_0_-_10_m_0_-_3_o_9_m_2_m_9_A_7_B_0_-_0_m_2_m_9_B_3_B_0_-_4_m_2_m_0_-_20_m_3_n_22_j	0.424
1s70_B	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_i_20_j_0_-_2_i_13_f_3_h_14_g_2_h_0_-_0_-_14_c_3_k_3_o_14_g_2_g_0_-_15_f_3_h_0_-_21_j	0.470
